Dataset,Row,Col,Accuracy_A,Accuracy_B,Accuracy_D,Loss_A,Loss_B,Loss_D,Validation_Accuracy_A,Validation_Accuracy_B,Validation_Accuracy_D,Validation_Loss_A,Validation_Loss_B,Validation_Loss_D,Delta_Training_Accuracy,Delta_Validation_Accuracy,Delta_Training_Loss,Delta_Validation_Loss,Training_Accuracy_Win_Count,Training_Accuracy_Lose_Count,Training_Accuracy_Same_Count,Count,Training_Loss_Win_Count,Training_Loss_Lose_Count,Greater,Validation_Accuracy_Win_Count,Validation_Accuracy_Lose_Count,Validation_Accuracy_Same_Count,Validation_Loss_Win_Count,Validation_Loss_Lose_Count,ARI
appendicitis.csv,106,7,0.828042328,0.884920635,0.845238095,0.417632593,0.336572419,0.394922978,0.843434343,0.888888889,0.868686869,0.39963175,0.333034486,0.375164058,Decreased,Decreased,Increased,Increased,1,6,2,9,0,9,FALSE,2,3,4,5,4,0
ar1.csv,121,29,0.866898148,0.922453704,0.929398148,0.350491125,0.229189153,0.255262653,0.808888889,0.862222222,0.906666667,0.397446341,0.30415888,0.26850233,Increased,Increased,Increased,Decreased,1,4,4,9,1,8,FALSE,3,2,4,6,3,0
ar6.csv,101,29,0.736111111,0.895833333,0.816666667,0.489339665,0.353479953,0.40269847,0.714285714,0.867724868,0.80952381,0.54093902,0.432341526,0.427611737,Decreased,Decreased,Increased,Decreased,3,6,0,9,5,4,TRUE,3,3,3,6,3,0
autoPrice.csv,159,15,0.986220472,0.99015748,0.966535433,0.073209486,0.054751862,0.117308939,0.953125,0.94921875,0.95703125,0.124863739,0.11939834,0.146698405,Decreased,Increased,Increased,Increased,0,8,0,8,0,8,FALSE,2,1,5,1,7,0
backache.csv,180,31,0.874007937,0.880952381,0.883928571,0.337259914,0.272522326,0.329664409,0.841269841,0.849206349,0.845238095,0.408102808,0.383515354,0.459695659,Increased,Decreased,Increased,Increased,3,1,3,7,1,6,FALSE,1,3,3,1,6,0
blogger.csv,100,5,0.627083333,0.75625,0.7,0.656132301,0.536975409,3.583081126,0.591666667,0.775,0.708333333,0.673127562,0.541862309,3.377321502,Decreased,Decreased,Increased,Increased,3,3,0,6,2,4,FALSE,0,4,2,1,5,0
bodyfat.csv,252,14,0.993603412,0.995735608,0.993603412,0.056636398,0.035692158,0.062367518,0.960784314,0.960784314,0.966386555,0.10599353,0.100152271,0.097767555,Decreased,Increased,Increased,Decreased,1,3,3,7,0,7,FALSE,2,1,4,4,3,0
breast-cancer-dropped-missing-attributes-values.csv,277,9,0.743438914,0.780995475,0.759728507,0.525833073,0.487450838,0.519991884,0.694642857,0.716071429,0.710714286,0.58640748,0.566456568,0.574918789,Decreased,Decreased,Increased,Increased,1,6,3,10,1,9,FALSE,2,6,2,3,7,0
breast_cancer.csv,286,9,0.739583333,0.755482456,0.749451754,0.547116272,0.52466318,0.532015622,0.754310345,0.75,0.75862069,0.563894954,0.556469627,0.548430625,Decreased,Increased,Increased,Decreased,2,4,2,8,2,6,FALSE,3,3,2,5,3,0
bupa.csv,345,5,0.621635611,0.637681159,0.622670807,0.654767718,0.646773815,0.650579427,0.610766046,0.629399586,0.631469979,0.661093405,0.663277039,0.655949524,Decreased,Increased,Increased,Decreased,0,5,2,7,2,5,FALSE,2,4,1,5,2,0
chscase_census2.csv,400,7,0.5328125,0.55859375,0.5484375,0.69253166,0.68399401,0.68987447,0.490625,0.4875,0.5125,0.705302835,0.693905458,0.698482856,Decreased,Increased,Increased,Increased,1,3,0,4,0,4,FALSE,2,2,0,1,3,0
chscase_census6.csv,400,6,0.560069444,0.595486111,0.595138889,0.684777591,0.669380347,0.673580388,0.541666667,0.573611111,0.590277778,0.700458699,0.685841865,0.681429141,Decreased,Increased,Increased,Decreased,3,4,2,9,3,6,FALSE,7,0,2,7,2,0
chscase_funds.csv,185,2,0.635885886,0.679429429,0.646396396,0.625563224,0.580252118,0.623914977,0.60960961,0.642642643,0.618618619,0.660520547,0.608013193,0.634520008,Decreased,Decreased,Increased,Increased,1,7,1,9,1,8,FALSE,1,5,3,0,9,0
