Dataset,Run,Checkpoint,Training_Type,Method,CMC_Type,Input_Type,Misclassification_Count,S1_Train_loss,S1_Train_acc,S1_Val_loss,S1_Val_acc,S1_Test_loss,S1_Test_acc,S2_Train_loss,S2_Train_acc,S2_Val_loss,S2_Val_acc,S2_Test_loss,S2_Test_acc,S3_Train_loss,S3_Train_acc,S3_Val_loss,S3_Val_acc,S3_Test_loss,S3_Test_acc,Solve_Time
EMNIST,2,./checkpoints_SAP/EMNIST_CO/Run2_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.10108079,96.17387821,0.1527359,94.74358974,0.155803118,94.62980769,0.100884883,96.17588141,0.152491689,94.71153846,0.155606815,94.63461538,0.08829716,96.58052885,0.149409552,94.86378205,0.149113975,94.72115385,184.7434387
EMNIST,3,./checkpoints_SAP/EMNIST_CO/Run3_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.083427206,96.74679487,0.154334965,94.57932692,0.158422272,94.8125,0.083457099,96.75180288,0.154376816,94.57932692,0.158468786,94.80769231,0.085948883,96.69471154,0.162292858,94.49919872,0.170444695,94.56730769,309.4585288
SVHN,1,./checkpoints_SAP/SVHN_CO/Run1_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.130249577,96.44398942,0.227381127,93.55675381,0.232620329,93.4542102,0.130225085,96.44057674,0.227193542,93.5840557,0.232501807,93.48494161,0.140794897,95.90307994,0.241449526,93.21548017,0.228467123,93.58097726,99.57512355
SVHN,2,./checkpoints_SAP/SVHN_CO/Run2_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.132973028,96.20510195,0.232758828,93.37246604,0.206735344,94.04194837,0.132794072,96.21022097,0.232540575,93.37929152,0.206615435,94.03810695,0.118036231,96.81938401,0.227697282,93.80929629,0.2046224,94.21865396,74.685009
SVHN,3,./checkpoints_SAP/SVHN_CO/Run3_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.117003436,96.71529733,0.218396467,93.97993311,0.206528636,94.28395821,0.116961074,96.71529733,0.21835846,93.97993311,0.206545241,94.28779963,0.100503614,97.14529477,0.231727175,93.53627739,0.211623443,94.17639828,642.2603464
USPS,1,./checkpoints_SAP/USPS_CO/Run1_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.002500796,99.98285322,0.033595947,99.03978052,0.139479481,96.51220727,0.080935902,98.55967078,0.116989779,97.32510288,0.212305502,94.86796213,0.000742336,99.98285322,0.031054127,98.97119342,0.144841321,97.01046338,3636.457669
USPS,2,./checkpoints_SAP/USPS_CO/Run2_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.006924316,99.86282579,0.037314049,98.97119342,0.162979572,96.46238166,0.04437505,98.79972565,0.087625138,97.80521262,0.226406226,95.21674141,0.001811702,99.98285322,0.025877126,99.51989026,0.146570866,96.91081216,3637.611061
USPS,3,./checkpoints_SAP/USPS_CO/Run3_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.00350063,99.91426612,0.024489538,99.24554184,0.135578283,96.81116094,0.074437381,99.19410151,0.101451162,97.73662551,0.207307977,95.91429995,0.001232625,99.98285322,0.019899028,99.65706447,0.13850397,97.01046338,3636.355874
office31,1,./checkpoints_SAP/office31_CO/Run1_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.015100908,99.55629506,0.969236987,78.66666667,1.043709621,74.60035524,0.036281483,98.94620078,0.999128809,77.33333333,1.069793789,73.71225577,0.006731278,99.88907377,0.932140925,78.44444444,1.007588336,77.79751332,3722.734793
office31,2,./checkpoints_SAP/office31_CO/Run2_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.011496744,99.94453688,0.994297619,72.88888889,0.925272486,76.02131439,0.055494211,98.94620078,1.049835856,71.77777778,0.971955428,75.13321492,0.001950467,100,0.991451834,76.88888889,0.996650328,78.330373,3715.127
office31,3,./checkpoints_SAP/office31_CO/Run3_checkpoint_CMC_Any_10.pth,SAP,CMC,Any,t,10,0.088024218,98.61342207,1.023547088,73.33333333,0.961493136,73.88987567,0.109596616,97.78147532,1.068568609,71.77777778,0.999730163,72.11367673,0.03928511,99.00166389,1.011264085,75.11111111,0.952532831,76.02131439,3713.760873
