Dataset,Training_Type,CMC_Label,Training+CMC,S3_Val_mean,Standalone,S1_Val_mean,Delta,Delta_Val
Caltech101,RWP,Correct_1,89.07330566856615,89.57212400593902,88.65417662074563,89.41373768484243,0.41912904782051896,0.1583863210965859
Caltech101,RWP,Correct_10,88.58921161825725,89.12375096079938,88.65417662074563,89.41373768484243,-0.06496500248837833,-0.2899867240430467
Caltech101,SAM,Any_1,91.99323805132934,92.36484755316424,91.78884278469341,92.39046887009992,0.20439526663592744,-0.025621316935684035
Caltech101,SAM,Any_10,92.1008145074535,92.6723033563925,91.78884278469341,92.39046887009992,0.31197172276009155,0.28183448629258123
Caltech101,SAM,Correct_1,92.02397418165053,92.39046887009992,91.78884278469341,92.39046887009992,0.23513139695711516,0.0
Caltech101,SAM,Correct_10,92.5311203319502,93.23597232897772,91.78884278469341,92.39046887009992,0.7422775472567906,0.8455034588778005
EMNIST,AWP,Any_1,95.310576922,95.420673076,95.29370629181818,95.39554195727273,0.01687063018181334,0.02513111872727336
EMNIST,AWP,Any_10,95.36858974333332,95.41666666666667,95.29370629181818,95.39554195727273,0.07488345151513442,0.02112470939394484
EMNIST,AWP,Correct_1,95.31250000333334,95.28979700999999,95.29370629181818,95.39554195727273,0.018793711515158407,-0.10574494727273986
EMNIST,ERM,Any_1,94.609615384,94.770833332,94.5954142,94.75560897307693,0.014201184000000922,0.015224358923063619
EMNIST,ERM,Any_10,94.69471154,94.73858172999999,94.5954142,94.75560897307693,0.09929734000000678,-0.017027243076938703
EMNIST,ERM,Correct_1,94.7151442325,94.8477564075,94.5954142,94.75560897307693,0.11973003250000147,0.09214743442306883
EMNIST,RWP,Any_1,94.61858974666666,94.73157051333334,94.63995726461539,94.70708689475784,-0.021367517948732484,0.024483618575501964
EMNIST,RWP,Any_10,94.76923076923076,94.7809829059829,94.63995726461539,94.70708689475784,0.12927350461536946,0.07389601122505951
EMNIST,RWP,Correct_1,94.80608974435897,94.83974359034188,94.63995726461539,94.70708689475784,0.16613247974358103,0.13265669558404625
EMNIST,SAM,Any_1,94.91666666666667,94.82371794871794,94.73237179487178,94.79700854700855,0.18429487179489001,0.02670940170939673
EMNIST,SAM,Any_10,94.90064102564104,94.94791666666667,94.73237179487178,94.79700854700855,0.16826923076925482,0.15090811965812634
EMNIST,SAM,Correct_1,94.66666666666667,94.82772435897436,94.73237179487178,94.79700854700855,-0.06570512820510999,0.03071581196581974
FashionMNIST,AWP,Any_1,93.862,94.345,93.74142857142859,94.1351190492857,0.12057142857140946,0.20988095071429314
FashionMNIST,AWP,Any_10,93.95,94.24444444333334,93.74142857142859,94.1351190492857,0.20857142857141753,0.1093253940476302
FashionMNIST,AWP,Correct_1,93.90333333333335,94.06944444333334,93.74142857142859,94.1351190492857,0.16190476190476488,-0.06567460595236696
FashionMNIST,AWP,Correct_10,93.87333333333333,94.14166666666667,93.74142857142859,94.1351190492857,0.13190476190474953,0.006547617380959991
FashionMNIST,ERM,Any_1,92.65599999999999,92.868333334,92.27799999999999,92.678333332,0.3780000000000001,0.190000002000005
FashionMNIST,ERM,Any_10,92.55799999999999,92.906666666,92.27799999999999,92.678333332,0.28000000000000114,0.22833333400001266
FashionMNIST,ERM,Correct_1,92.45599999999999,92.778333332,92.27799999999999,92.678333332,0.17799999999999727,0.10000000000000853
FashionMNIST,ERM,Correct_10,92.63199999999999,93.046666668,92.27799999999999,92.678333332,0.3539999999999992,0.3683333360000063
FashionMNIST,RWP,Any_1,92.71,93.14999999888887,92.72500000000001,92.96111111166668,-0.01500000000001478,0.18888888722219122
FashionMNIST,RWP,Any_10,92.53333333333335,92.90833333333335,92.72500000000001,92.96111111166668,-0.19166666666666288,-0.0527777783333363
FashionMNIST,RWP,Correct_1,92.64999999999999,92.94444444666665,92.72500000000001,92.96111111166668,-0.07500000000001705,-0.01666666500003089
FashionMNIST,RWP,Correct_10,92.37333333333333,92.575,92.72500000000001,92.96111111166668,-0.3516666666666737,-0.3861111116666791
FashionMNIST,SAM,Any_1,92.81666666666666,93.01666666666665,93.05333333333333,93.24722222222222,-0.23666666666666458,-0.2305555555555685
