Dataset,Method,RunID,Candidate,W_offset_sum,b_offset_sum,Objective_value,n,Misclassified,Accuracy_Full,Accuracy_Val,GlobalMisclassified
MNIST,MisCls_Any,4,0,0.182084121,0,0.182084121,1000,10,97.68541667,96.99166667,335
MNIST,MisCls_Any,5,0,0.11810319,0,0.11810319,1000,10,97.93125,97.59166667,143
office31,MisCls_Any,1,0,2.338210753,0,2.338210753,1000,10,97.61508597,74.88888889,23
office31,MisCls_Any,2,0,3.039640693,0,3.039640693,1000,10,94.4536883,71.33333333,17
office31,MisCls_Any,3,0,10.46737652,0,10.46737652,1000,10,97.94786467,72.22222222,24
office31,MisCls_Any,4,0,4.324265886,0,4.324265886,1000,10,99.00166389,75.55555556,14
office31,MisCls_Any,5,0,2.542847455,0,2.542847455,1000,10,99.11259013,72.88888889,13
SVHN,MisCls_Any,1,0,0,2.19933042,2.19933042,1000,10,96.26653016,93.12674903,668
SVHN,MisCls_Any,3,0,5.480659367,0.481592195,5.962251563,1000,10,96.07030117,93.45437172,488
SVHN,MisCls_Any,4,0,0,1.902587203,1.902587203,1000,10,95.22907602,92.96976316,516
SVHN,MisCls_Any,5,0,0,1.905594992,1.905594992,1000,10,96.30236328,93.42024435,507
USPS,MisCls_Any,3,0,0.935040897,0,0.935040897,1000,10,98.71399177,97.66803841,76
USPS,MisCls_Any,5,0,1.072491449,0,1.072491449,1000,10,98.45679012,97.32510288,70
CIFAR10,MisCls_Correct,2,0,0.160972577,0,0.160972577,1000,1,97.62,92.14,11
MNIST,MisCls_Correct,1,0,0.003120741,0,0.003120741,1000,1,97.60208333,97.10833333,6
MNIST,MisCls_Correct,2,0,0.003145017,0,0.003145017,1000,1,98.08541667,97.79166667,3
MNIST,MisCls_Correct,3,0,0.069377418,0,0.069377418,1000,1,98.32708333,98.01666667,37
MNIST,MisCls_Correct,4,0,0.008318667,0,0.008318667,1000,1,98.27083333,97.50833333,4
MNIST,MisCls_Correct,5,0,0.001526476,0,0.001526476,1000,1,97.93125,97.63333333,1
office31,MisCls_Correct,1,0,0.753911775,0,0.753911775,1000,1,98.77981143,75.77777778,1
office31,MisCls_Correct,2,0,2.320499958,0,2.320499958,1000,1,95.34109817,71.77777778,2
CIFAR10,MisCls_Correct,2,0,5.616466319,0,5.616466318,1000,10,96.7375,91.43,501
office31,MisCls_Correct,3,0,1.6928964180056922,0.0,1.6928964180056922,1000,1,99.22351636161952,74.44444444444444,1
office31,MisCls_Correct,4,0,0.9471924085928282,0.0,0.9471924085928282,1000,2,99.66722129783693,76.22222222222223,2
office31,MisCls_Correct,5,0,1.9765467327833897,0.0,1.9765467327833899,1000,1,99.77814753189129,73.33333333333333,1
KMNIST,MisCls_Correct,1,0,0.4249230205858159,0.0,0.4249230205858159,1000,1,99.88958333333333,99.11666666666666,10
KMNIST,MisCls_Correct,2,0,0.6046417143232093,0.0,0.6046417143232093,1000,1,99.92291666666667,99.24166666666666,7
KMNIST,MisCls_Correct,3,0,0.0,0.0,0.0,1000,0,99.95833333333334,99.325,0
