Dataset,Run,Checkpoint,Training_Type,Method,CMC_Type,Input_Type,Misclassification_Count,S1_Train_loss,S1_Train_acc,S1_Val_loss,S1_Val_acc,S1_Test_loss,S1_Test_acc,S2_Train_loss,S2_Train_acc,S2_Val_loss,S2_Val_acc,S2_Test_loss,S2_Test_acc,S3_Train_loss,S3_Train_acc,S3_Val_loss,S3_Val_acc,S3_Test_loss,S3_Test_acc,Solve_Time
office31,2,./checkpoints/office31_CO/Run2_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.18070520184979594,95.61841375485302,0.8819527432653639,76.88888888888889,0.8790315319759172,75.13321492007105,0.18070181492660287,95.56295063782585,0.881954072051578,76.88888888888889,0.8790423831973575,75.13321492007105,0.09032782039714071,99.00166389351081,0.8904414847162034,77.33333333333333,0.8300211433830735,77.97513321492008,578.297069311142
office31,3,./checkpoints/office31_CO/Run3_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.2151214174938678,96.28397115917915,0.9535285398695204,73.55555555555556,0.9509137900642137,74.95559502664298,0.21512591878816906,96.22850804215197,0.9535284434424506,73.55555555555556,0.9509493927760827,74.95559502664298,0.15001419601064223,97.55962285080422,0.9398155668046739,74.66666666666667,0.9126973177569374,75.48845470692717,1126.3472998142242
office31,4,./checkpoints/office31_CO/Run4_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.04759595833648527,99.33444259567388,0.80989105436537,77.77777777777777,0.7695049960066963,80.63943161634103,0.04877472029615625,99.2789794786467,0.8101123767428928,78.0,0.7728559788759818,80.63943161634103,0.037450884779294334,99.55629506378258,0.8078857421875,78.66666666666667,0.7802326293864005,80.8170515097691,3680.553614616394
office31,5,./checkpoints/office31_CO/Run5_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.18391813756820563,96.83860232945092,1.084086348215739,72.22222222222223,0.9880528322968559,74.24511545293073,0.18391860832258258,96.83860232945092,1.0840852313571505,72.22222222222223,0.9880524020423685,74.24511545293073,0.039133557910332066,99.55629506378258,1.0617114310794407,73.77777777777777,0.9281106918362063,75.8436944937833,1107.0989241600037
Caltech101,1,./checkpoints/Caltech101_CO/Run1_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.03409772418236165,98.88590088359585,0.39515103403189655,89.23904688700999,0.393489020274168,90.31811894882435,0.034120078251206595,98.82827506723012,0.3950645082231488,89.23904688700999,0.39349415127502274,90.41032733978793,0.021221867295234675,98.92431809450633,0.3912950698042906,88.85472713297463,0.38956003905771625,89.85707699400645,3133.730422258377
Caltech101,2,./checkpoints/Caltech101_CO/Run2_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.04215889126584764,98.17518248175182,0.3291327370807448,90.39200614911607,0.35764361801868544,90.82526509912402,0.041989217729486966,98.21359969266231,0.32915912542225856,90.46887009992314,0.3575382204086564,90.82526509912402,0.036381921410357385,98.32885132539377,0.3316540301395874,91.16064565718678,0.3618999935064848,90.41032733978793,1242.3461031913757
Caltech101,3,./checkpoints/Caltech101_CO/Run3_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.054708852060210734,98.44410295812524,0.3530069570716393,90.46887009992314,0.374599932085374,90.22591055786077,0.05481286928532813,98.40568574721475,0.3530108966706442,90.5457340507302,0.37469214071816376,90.31811894882435,0.030835700174757823,98.75144064540915,0.33254102163366134,91.08378170637971,0.35290999877502316,90.41032733978793,1565.5621480941772
Caltech101,4,./checkpoints/Caltech101_CO/Run4_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.04293132364560996,98.21359969266231,0.38239748506798915,89.85395849346656,0.3909322618613764,90.1337021668972,0.04361728525996392,98.23280829811756,0.3827751247952481,89.93082244427363,0.39128125862571816,90.22591055786077,0.03363506355771206,98.21359969266231,0.3651554769593693,89.62336664104535,0.3927129804401037,89.90318118948824,3698.384352684021
Caltech101,5,./checkpoints/Caltech101_CO/Run5_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.03056295468198952,98.80906646177488,0.3560801767826447,90.46887009992314,0.3675814001941637,90.54863992623329,0.030560299703157948,98.8666922781406,0.3560931814990531,90.46887009992314,0.36758213303725584,90.54863992623329,0.023547348036379614,99.40453323088744,0.35419830023601,90.23827824750192,0.35983922894839704,90.68695251267866,1511.4446465969086
KMNIST,1,./checkpoints/KMNIST_CO/Run1_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,9.27783038423513e-05,100.0,0.019717522635978337,99.6,0.06968884024918079,98.48,0.0003965232445722601,99.99791666666667,0.021492186458160478,99.525,0.07528638653317467,98.19,7.580870727057725e-05,100.0,0.019135902436217295,99.59166666666667,0.07697453014347702,98.39,3650.826721906662
KMNIST,2,./checkpoints/KMNIST_CO/Run2_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.0003295728243053115,100.0,0.016653047527186573,99.5,0.07970968148596584,98.05,0.0009416300931091731,99.98958333333333,0.018031223301775753,99.45833333333333,0.09095171238929033,97.78,1.9576194583957356e-05,100.0,0.016837785072159023,99.53333333333333,0.0790946402924601,98.35,3651.02907037735
KMNIST,3,./checkpoints/KMNIST_CO/Run3_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.00047791459774210426,99.99583333333334,0.01624598433372254,99.59166666666667,0.07606104127168656,98.22,0.001191462242413157,99.98333333333333,0.01890868456910054,99.50833333333334,0.07917270991355181,98.12,0.00010595719981453536,99.99791666666667,0.015643505894035722,99.60833333333333,0.07305457867756486,98.5,3649.899035215378
KMNIST,4,./checkpoints/KMNIST_CO/Run4_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,3.4819015196262624e-05,100.0,0.021070003199391067,99.45833333333333,0.07620696755666286,98.37,0.0025449384048891566,99.94583333333334,0.027050831221975387,99.34166666666667,0.0870271186903119,98.11,4.906110092148689e-05,100.0,0.021301162277833404,99.46666666666667,0.07757944042310119,98.41,3637.600397825241
KMNIST,5,./checkpoints/KMNIST_CO/Run5_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,3.749878337112022e-05,100.0,0.01287631893773505,99.60833333333333,0.08426394072026014,98.2,0.00037048578175987736,99.99791666666667,0.017301823377260005,99.475,0.09625208858251572,97.83,6.770723679892399e-06,100.0,0.012690006262295356,99.59166666666667,0.07904946506991982,98.46,3640.530908346176
SVHN,2,./checkpoints/SVHN_CO/Run2_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.10566860905392118,97.64013309444587,0.18240747086204903,95.05153231861307,0.159903177159215,95.79748002458513,0.10575768865143395,97.64183943349543,0.18245360242833084,95.04470684594908,0.1595882131742713,95.81668715427166,0.10254529407871643,97.77152120126269,0.17832028652025111,95.31090027984438,0.15686481693769863,96.0779041180086,92.1147449016571
SVHN,4,./checkpoints/SVHN_CO/Run4_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.11909953528231254,97.19819128060746,0.17351204109530785,95.2289946078766,0.15188959083384213,96.1278426551936,0.11915137808029079,97.19307226345875,0.17358180911160517,95.2289946078766,0.15195342839753329,96.1278426551936,0.08870974093174713,98.1196143673748,0.16142171176505019,95.50883898709985,0.1408721376542453,96.47741241548863,54.8154616355896
SVHN,5,./checkpoints/SVHN_CO/Run5_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.07708982230580388,98.61957170889856,0.15940847808704808,95.72725411234728,0.15351482520604617,96.05869698832207,0.07715445773413987,98.62127804794812,0.1594680938993035,95.72725411234728,0.15370919787598009,96.06253841425938,0.0712052179289898,98.75266615476495,0.15947447021408998,95.76820694833117,0.15792846327078583,96.00875845113706,465.361279964447
EMNIST,1,./checkpoints/EMNIST_CO/Run1_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.06714927349120188,97.45092147435898,0.12592986163038475,95.58092948717949,0.13055577992855644,95.29807692307692,0.06716502152192287,97.45292467948718,0.1259615280880378,95.58092948717949,0.13058464381163223,95.30288461538461,0.06411954794341745,97.49599358974359,0.1274296458141926,95.45272435897436,0.13175769310372953,95.3701923076923,497.09348011016846
EMNIST,2,./checkpoints/EMNIST_CO/Run2_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.0783576569137856,97.16245993589743,0.13055957762094644,95.34054487179488,0.1317052002566365,95.23557692307692,0.07835642806708049,97.16145833333333,0.13055727997651467,95.34054487179488,0.13170376853587537,95.23557692307692,0.0575859065573567,97.63822115384616,0.1310717795139704,95.44471153846153,0.13255390978991413,95.32211538461539,234.33016276359558
EMNIST,3,./checkpoints/EMNIST_CO/Run3_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.069381065095942,97.47996794871794,0.12919581903096958,95.20833333333333,0.1322549189401504,95.3125,0.06939115594738186,97.47395833333333,0.1291981541002408,95.20032051282051,0.13226894365838515,95.29807692307692,0.0616059553833344,97.63221153846153,0.13019200794589825,95.20432692307692,0.1334739040912917,95.27403846153847,159.76192712783813
EMNIST,4,./checkpoints/EMNIST_CO/Run4_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.07892498038470364,97.09835737179488,0.1228273678284425,95.57291666666667,0.1326702650435842,95.3798076923077,0.08128306854707308,96.97516025641026,0.124933282744426,95.50080128205128,0.13528649899105613,95.29326923076923,0.06307324272198364,97.5,0.1225671634842188,95.61698717948718,0.13396033499031687,95.21634615384616,3629.461462497711
EMNIST,5,./checkpoints/EMNIST_CO/Run5_checkpoint_CMC_Any_1.pth,AWP,CMC,Any,t,1,0.06777663396862454,97.4579326923077,0.12834080923826266,95.3886217948718,0.13083632600422088,95.3125,0.0680955823439245,97.44591346153847,0.12870295953292113,95.39663461538461,0.13126788824223556,95.30288461538461,0.06447656501251726,97.5,0.1286473129517757,95.38461538461539,0.13084995108262565,95.3701923076923,3630.708604812622
CIFAR10,1,./checkpoints/CIFAR10_CO/Run1_checkpoint_CMC_Correct_10.pth,AWP,CMC,Correct,t,10,0.21316867010593415,94.1025,0.3024538326025009,90.28,0.3057711236000061,90.19,0.22862042956352233,93.5525,0.3097215029478073,90.05,0.32432128987312314,89.72,0.21434617414474488,94.2025,0.30226236662864686,90.48,0.30856073689460756,89.97,3648.925523519516
CIFAR10,2,./checkpoints/CIFAR10_CO/Run2_checkpoint_CMC_Correct_10.pth,AWP,CMC,Correct,t,10,0.22406867487430573,93.52,0.3238741726875305,89.35,0.3206437463760376,89.53,0.26420825340747833,91.8925,0.357016487121582,88.33,0.3570450667858124,88.33,0.21321478080749512,93.91,0.3229261157989502,89.1,0.30850855078697204,90.0,3649.944522380829
CIFAR10,3,./checkpoints/CIFAR10_CO/Run3_checkpoint_CMC_Correct_10.pth,AWP,CMC,Correct,t,10,0.2409833901643753,92.47,0.32883045744895933,89.14,0.3346042127609253,88.55,0.27317192420959474,91.225,0.3616026075363159,87.87,0.3677524929285049,87.25,0.22538935027122498,93.5625,0.30166663751602174,90.2,0.3120269299030304,89.78,3650.225552558899
MNIST,1,./checkpoints/MNIST_CO/Run1_checkpoint_CMC_Correct_10.pth,AWP,CMC,Correct,t,10,0.0015748830511195895,99.96666666666667,0.04435967820083412,98.80833333333334,0.05474118303189316,98.64,0.015963182334632925,99.525,0.06327992080152035,98.39166666666667,0.06833787092501298,98.35,0.0018562919703545048,99.9625,0.044038680117266873,98.84166666666667,0.05191676267717266,98.77,1256.9759047031403
MNIST,4,./checkpoints/MNIST_CO/Run4_checkpoint_CMC_Correct_10.pth,AWP,CMC,Correct,t,10,0.008950573932069043,99.86458333333333,0.047357913633187615,98.60833333333333,0.04507204494774342,98.6,0.025446583978210886,99.16875,0.0704565723190705,97.85,0.06725442814817652,97.87,0.0066939512464838724,99.9,0.050247577684621014,98.625,0.048052610394370275,98.58,3604.3828847408295
MNIST,3,./checkpoints/MNIST_CO/Run3_checkpoint_CMC_Correct_10.pth,AWP,CMC,Correct,t,10,0.008682581626344473,99.81458333333333,0.044088623609393834,98.73333333333333,0.0363718882039655,98.84,0.023238889522850515,99.20625,0.061555077095826465,98.25,0.055749189833179114,98.11,0.005717362490016967,99.87916666666666,0.0436105695279936,98.78333333333333,0.03768098514515441,98.89,1619.0103313922882
FashionMNIST,1,./checkpoints/FashionMNIST_CO/Run1_checkpoint_CMC_Correct_10.pth,AWP,CMC,Correct,t,10,0.06517193040748437,98.28958333333334,0.1619715666770935,94.06666666666666,0.1716986935734749,93.8,0.14086101273695628,96.84166666666667,0.2328613715171814,92.56666666666666,0.2444320482492447,92.31,0.049539173608024914,98.87708333333333,0.16692519187927246,94.03333333333333,0.17867079919576645,93.86,3632.937326669693
FashionMNIST,3,./checkpoints/FashionMNIST_CO/Run3_checkpoint_CMC_Correct_10.pth,AWP,CMC,Correct,t,10,0.07723407107591629,97.83125,0.16353040152788162,94.21666666666667,0.17638651529550553,93.63,0.25814539766311645,94.35416666666667,0.31594486653804776,91.19166666666666,0.3240230477809906,90.91,0.029607490822672843,99.47708333333334,0.16081029862165452,94.475,0.17564861171841623,94.0,3650.130383014679
FashionMNIST,4,./checkpoints/FashionMNIST_CO/Run4_checkpoint_CMC_Correct_10.pth,AWP,CMC,Correct,t,10,0.06656653666992982,98.2625,0.17282337323824565,93.825,0.17856913499236107,93.62,0.1040883466998736,97.42916666666666,0.21306930387020112,92.85833333333333,0.21574938945770264,92.86,0.06344643803934256,98.42291666666667,0.17307718833287558,93.91666666666667,0.1771057091653347,93.76,3649.0242223739624
USPS,1,./checkpoints/USPS_CO/Run1_checkpoint_CMC_Correct_10.pth,AWP,CMC,Correct,t,10,0.0035385348502257824,99.94855967078189,0.022151456024134927,99.38271604938272,0.12078264695334684,97.15994020926756,0.06542351705230394,98.61111111111111,0.08741634387129456,97.599451303155,0.178216032204963,95.96412556053812,0.0035790402917160245,99.93141289437585,0.01949052414275573,99.38271604938272,0.1235450529774134,97.11011459890383,3650.271341562271
USPS,2,./checkpoints/USPS_CO/Run2_checkpoint_CMC_Correct_10.pth,AWP,CMC,Correct,t,10,0.004238161545844726,99.91426611796982,0.026084200907543313,99.38271604938272,0.10342383052825214,97.15994020926756,0.12301969550682848,98.2681755829904,0.12540313007695847,97.73662551440329,0.21788166171588527,95.31639262580967,0.003066845518268264,99.94855967078189,0.02111058100669636,99.45130315500685,0.12055570901546481,97.30941704035874,3651.8103828430176
USPS,3,./checkpoints/USPS_CO/Run3_checkpoint_CMC_Correct_10.pth,AWP,CMC,Correct,t,10,0.0018065331735860925,99.96570644718793,0.01928998654917782,99.45130315500685,0.10591607176855125,97.25959142999501,0.08001426095328602,98.97119341563786,0.09807687767861802,98.69684499314128,0.182641144112443,96.1136023916293,0.001816065884492295,99.96570644718793,0.01804807487126588,99.519890260631,0.11489678659083301,97.35924265072246,3650.7506976127625
Food101,1,./checkpoints/Food101_CO/Run1_checkpoint_CMC_Correct_10.pth,AWP,CMC,Correct,t,10,0.2680760769844055,94.2,0.8559482024510702,71.8,0.6179153308868408,80.12,0.3721544564565023,92.73333333333333,0.9484149657885234,69.13333333333334,0.7200885805130005,77.88,0.12578721169630686,97.63333333333334,0.8685030916531881,70.8,0.629804146194458,79.48,3650.174875020981
Food101,2,./checkpoints/Food101_CO/Run2_checkpoint_CMC_Correct_10.pth,AWP,CMC,Correct,t,10,0.25201900402704874,95.2,1.1920649639765422,60.2,0.9950184650421142,67.08,0.2563429630994797,94.91666666666667,1.1998671611150107,60.266666666666666,1.0026215200424193,67.0,0.20602438247203828,95.95,1.2088311700820922,62.333333333333336,0.9794315288543701,67.88,3650.5470657348633
Food101,3,./checkpoints/Food101_CO/Run3_checkpoint_CMC_Correct_10.pth,AWP,CMC,Correct,t,10,0.768376245657603,75.43333333333334,1.2219986635843914,59.4,1.0703425233840942,63.24,0.7978994663556417,74.4,1.2507804991404214,58.666666666666664,1.1001043464660645,62.36,0.559760576248169,84.71666666666667,1.1394284930229186,60.266666666666666,0.9709108581542969,67.48,3650.556837797165
