Dataset: GiveMeSomeCredit, Method: F_A10, Run ID: 4, Total Flips: 968, Expected Flips: 10
Dataset: GiveMeSomeCredit, Method: B0, Run ID: 4, Total Flips: 0, Expected Flips: 0
Dataset: bank-marketing, Method: F_C1, Run ID: 0, Total Flips: 20, Expected Flips: 1
Dataset: bank-marketing, Method: F_A1, Run ID: 0, Total Flips: 20, Expected Flips: 1
Dataset: bank-marketing, Method: F_A10, Run ID: 0, Total Flips: 303, Expected Flips: 10
Dataset: bank-marketing, Method: B0, Run ID: 0, Total Flips: 0, Expected Flips: 0
Dataset: bank-marketing, Method: F_A1, Run ID: 1, Total Flips: 3, Expected Flips: 1
Dataset: bank-marketing, Method: F_A10, Run ID: 1, Total Flips: 168, Expected Flips: 10
Dataset: bank-marketing, Method: B0, Run ID: 1, Total Flips: 0, Expected Flips: 0
Dataset: bank-marketing, Method: F_C1, Run ID: 2, Total Flips: 34, Expected Flips: 1
Dataset: bank-marketing, Method: F_A1, Run ID: 2, Total Flips: 21, Expected Flips: 1
Dataset: bank-marketing, Method: F_A10, Run ID: 2, Total Flips: 262, Expected Flips: 10
Dataset: bank-marketing, Method: B0, Run ID: 2, Total Flips: 0, Expected Flips: 0
Dataset: bank-marketing, Method: F_A1, Run ID: 3, Total Flips: 3, Expected Flips: 1
Dataset: bank-marketing, Method: F_A10, Run ID: 3, Total Flips: 261, Expected Flips: 10
Dataset: bank-marketing, Method: B0, Run ID: 3, Total Flips: 0, Expected Flips: 0
Dataset: bank-marketing, Method: F_C1, Run ID: 4, Total Flips: 81, Expected Flips: 1
Dataset: bank-marketing, Method: F_A1, Run ID: 4, Total Flips: 41, Expected Flips: 1
Dataset: bank-marketing, Method: F_A10, Run ID: 4, Total Flips: 298, Expected Flips: 10
Dataset: bank-marketing, Method: B0, Run ID: 4, Total Flips: 0, Expected Flips: 0
Dataset: santander, Method: F_C1, Run ID: 0, Total Flips: 222, Expected Flips: 1
Dataset: santander, Method: F_C10, Run ID: 0, Total Flips: 1022, Expected Flips: 10
Dataset: santander, Method: F_A1, Run ID: 0, Total Flips: 222, Expected Flips: 1
Dataset: santander, Method: F_A10, Run ID: 0, Total Flips: 1022, Expected Flips: 10
Dataset: santander, Method: B0, Run ID: 0, Total Flips: 0, Expected Flips: 0
Dataset: santander, Method: F_C1, Run ID: 1, Total Flips: 26, Expected Flips: 1
Dataset: santander, Method: F_A1, Run ID: 1, Total Flips: 26, Expected Flips: 1
Dataset: santander, Method: F_A10, Run ID: 1, Total Flips: 1854, Expected Flips: 10
Dataset: santander, Method: B0, Run ID: 1, Total Flips: 0, Expected Flips: 0
Dataset: santander, Method: F_C1, Run ID: 2, Total Flips: 230, Expected Flips: 1
Dataset: santander, Method: F_C10, Run ID: 2, Total Flips: 1510, Expected Flips: 10
Dataset: santander, Method: F_A1, Run ID: 2, Total Flips: 68, Expected Flips: 1
Dataset: santander, Method: F_A10, Run ID: 2, Total Flips: 902, Expected Flips: 10
Dataset: santander, Method: B0, Run ID: 2, Total Flips: 0, Expected Flips: 0
Dataset: santander, Method: F_C1, Run ID: 3, Total Flips: 266, Expected Flips: 1
Dataset: santander, Method: F_C10, Run ID: 3, Total Flips: 1345, Expected Flips: 10
Dataset: santander, Method: F_A1, Run ID: 3, Total Flips: 266, Expected Flips: 1
Dataset: santander, Method: F_A10, Run ID: 3, Total Flips: 1345, Expected Flips: 10
Dataset: santander, Method: B0, Run ID: 3, Total Flips: 0, Expected Flips: 0
Dataset: santander, Method: F_C1, Run ID: 4, Total Flips: 109, Expected Flips: 1
Dataset: santander, Method: F_C10, Run ID: 4, Total Flips: 2095, Expected Flips: 10
Dataset: santander, Method: F_A1, Run ID: 4, Total Flips: 109, Expected Flips: 1
Dataset: santander, Method: F_A10, Run ID: 4, Total Flips: 2095, Expected Flips: 10
Dataset: santander, Method: B0, Run ID: 4, Total Flips: 0, Expected Flips: 0
Dataset: Adult, Method: F_A20, Run ID: 0, Total Flips: 148, Expected Flips: 20
Dataset: Adult, Method: F_A30, Run ID: 0, Total Flips: 222, Expected Flips: 30
Dataset: Adult, Method: F_C20, Run ID: 1, Total Flips: 101, Expected Flips: 20
Dataset: Adult, Method: F_C30, Run ID: 1, Total Flips: 152, Expected Flips: 30
Dataset: Adult, Method: F_A20, Run ID: 1, Total Flips: 113, Expected Flips: 20
Dataset: Adult, Method: F_A30, Run ID: 1, Total Flips: 193, Expected Flips: 30
Dataset: Adult, Method: F_A20, Run ID: 2, Total Flips: 139, Expected Flips: 20
Dataset: Adult, Method: F_A30, Run ID: 2, Total Flips: 188, Expected Flips: 30
Dataset: Adult, Method: F_C20, Run ID: 3, Total Flips: 123, Expected Flips: 20
Dataset: Adult, Method: F_C30, Run ID: 3, Total Flips: 206, Expected Flips: 30
Dataset: Adult, Method: F_A20, Run ID: 3, Total Flips: 123, Expected Flips: 20
Dataset: Adult, Method: F_A30, Run ID: 3, Total Flips: 169, Expected Flips: 30
Dataset: Adult, Method: F_A20, Run ID: 4, Total Flips: 108, Expected Flips: 20
Dataset: Adult, Method: F_A30, Run ID: 4, Total Flips: 197, Expected Flips: 30
Dataset: higgs, Method: F_A20, Run ID: 0, Total Flips: 349, Expected Flips: 20
Dataset: higgs, Method: F_A30, Run ID: 0, Total Flips: 447, Expected Flips: 30
Dataset: higgs, Method: F_A20, Run ID: 1, Total Flips: 177, Expected Flips: 20
Dataset: higgs, Method: F_A30, Run ID: 1, Total Flips: 335, Expected Flips: 30
Dataset: higgs, Method: F_A20, Run ID: 2, Total Flips: 178, Expected Flips: 20
Dataset: higgs, Method: F_A30, Run ID: 2, Total Flips: 328, Expected Flips: 30
Dataset: higgs, Method: F_A20, Run ID: 3, Total Flips: 421, Expected Flips: 20
Dataset: higgs, Method: F_A30, Run ID: 3, Total Flips: 564, Expected Flips: 30
Dataset: higgs, Method: F_A20, Run ID: 4, Total Flips: 295, Expected Flips: 20
Dataset: higgs, Method: F_A30, Run ID: 4, Total Flips: 405, Expected Flips: 30
Dataset: GiveMeSomeCredit, Method: F_A20, Run ID: 0, Total Flips: 361, Expected Flips: 20
Dataset: GiveMeSomeCredit, Method: F_A30, Run ID: 0, Total Flips: 565, Expected Flips: 30
Dataset: GiveMeSomeCredit, Method: F_A20, Run ID: 1, Total Flips: 394, Expected Flips: 20
Dataset: GiveMeSomeCredit, Method: F_A30, Run ID: 1, Total Flips: 542, Expected Flips: 30
Dataset: GiveMeSomeCredit, Method: F_A20, Run ID: 2, Total Flips: 433, Expected Flips: 20
Dataset: GiveMeSomeCredit, Method: F_A30, Run ID: 2, Total Flips: 701, Expected Flips: 30
Dataset: GiveMeSomeCredit, Method: F_A20, Run ID: 3, Total Flips: 298, Expected Flips: 20
Dataset: GiveMeSomeCredit, Method: F_A30, Run ID: 3, Total Flips: 484, Expected Flips: 30
Dataset: GiveMeSomeCredit, Method: F_C20, Run ID: 4, Total Flips: 382, Expected Flips: 20
Dataset: GiveMeSomeCredit, Method: F_C30, Run ID: 4, Total Flips: 669, Expected Flips: 30
Dataset: GiveMeSomeCredit, Method: F_A20, Run ID: 4, Total Flips: 470, Expected Flips: 20
