Dataset,Run,Train Loss,Train Acc,Test Acc,Method
GiveMeSomeCredit,3,0.27221188,0.93665230,0.93302572,RAF_A1
GiveMeSomeCredit,3,0.17473377,0.94281554,0.93036503,F_A10
GiveMeSomeCredit,3,0.19895174,0.93635088,0.92903465,RAF_A10
GiveMeSomeCredit,3,0.17480017,0.94247258,0.93186164,B0
GiveMeSomeCredit,3,0.27119350,0.93668348,0.93290097,RAB0
GiveMeSomeCredit,4,0.17935152,0.93996775,0.92949200,Train
GiveMeSomeCredit,4,0.20341030,0.93903238,0.92836952,F_C1
GiveMeSomeCredit,4,0.16963907,0.94345999,0.93011558,RAF_C1
GiveMeSomeCredit,4,0.26006666,0.93241179,0.92117733,F_C10
GiveMeSomeCredit,4,0.17565483,0.94123578,0.93061447,RAF_C10
GiveMeSomeCredit,4,0.17972901,0.93990541,0.92940885,F_A1
GiveMeSomeCredit,4,0.18359174,0.93877256,0.93290097,RAF_A1
GiveMeSomeCredit,4,0.18211246,0.93906355,0.92733020,F_A10
GiveMeSomeCredit,4,0.19233298,0.93795145,0.93032342,RAF_A10
GiveMeSomeCredit,4,0.17962538,0.93996775,0.92949200,B0
GiveMeSomeCredit,4,0.18371932,0.93877256,0.93285942,RAB0
bank-marketing,0,0.07506495,0.97290421,0.87050760,Train
bank-marketing,0,0.08056950,0.97243422,0.87039697,F_C1
bank-marketing,0,0.27317476,0.91456538,0.87106049,RAF_C1
bank-marketing,0,0.09052940,0.96679384,0.86387259,F_C10
bank-marketing,0,0.21799198,0.95252711,0.88300341,RAF_C10
bank-marketing,0,0.08056950,0.97243422,0.87039697,F_A1
bank-marketing,0,0.27317476,0.91456538,0.87106049,RAF_A1
bank-marketing,0,0.09052940,0.96679384,0.86387259,F_A10
bank-marketing,0,0.21799198,0.95252711,0.88300341,RAF_A10
bank-marketing,0,0.07943044,0.97290421,0.87050760,B0
bank-marketing,0,0.27360842,0.91940391,0.87006527,RAB0
bank-marketing,1,0.05722404,0.97763216,0.87935418,Train
bank-marketing,1,0.06255542,0.97868282,0.87858009,F_A1
bank-marketing,1,0.69706392,0.90530300,0.88930666,RAF_A1
bank-marketing,1,0.05806392,0.98183477,0.87681079,F_A10
bank-marketing,1,0.72664243,0.90635371,0.89096540,RAF_A10
bank-marketing,1,0.06400974,0.97763216,0.87924361,B0
bank-marketing,1,0.69061154,0.90499890,0.88875371,RAB0
bank-marketing,2,0.06626604,0.92656493,0.84463120,Train
bank-marketing,2,0.16718499,0.92579073,0.84418887,F_C1
bank-marketing,2,0.11406731,0.98813868,0.88211876,RAF_C1
bank-marketing,2,0.18259984,0.91937625,0.84009731,F_C10
bank-marketing,2,0.05404498,0.87793076,0.81422096,RAF_C10
bank-marketing,2,0.16718499,0.92579073,0.84418887,F_A1
bank-marketing,2,0.11406731,0.98813868,0.88211876,RAF_A1
bank-marketing,2,0.18259984,0.91937625,0.84009731,F_A10
bank-marketing,2,0.05404498,0.87793076,0.81422096,RAF_A10
