Dataset,Retrain,Candidate,Checkpoint,Train_loss,Train_acc,Val_loss,Val_acc,Test_loss,Test_acc,Solve_Time
MNIST,N,2,./checkpoints/MNIST/Run2_checkpoint_2.pth,0.076026397,97.66875,0.085957133,97.49166667,0.079011812,97.4,604.3927493
MNIST,N,3,./checkpoints/MNIST/Run2_checkpoint_3.pth,0.091710019,97.18958333,0.101256981,96.98333333,0.090804491,97.18,604.4048121
MNIST,N,5,./checkpoints/MNIST/Run2_checkpoint_5.pth,0.071701063,97.81666667,0.079960086,97.675,0.074100907,97.65,604.405978
MNIST,N,6,./checkpoints/MNIST/Run2_checkpoint_6.pth,0.08146792,97.59166667,0.09125274,97.375,0.085066856,97.44,604.3540649
MNIST,N,7,./checkpoints/MNIST/Run2_checkpoint_7.pth,0.073681421,97.71041667,0.081418863,97.64166667,0.076935907,97.6,604.4444709
MNIST,N,8,./checkpoints/MNIST/Run2_checkpoint_8.pth,0.069554887,97.90416667,0.079117959,97.75,0.071662715,97.69,604.3559473
MNIST,N,9,./checkpoints/MNIST/Run2_checkpoint_9.pth,0.072454228,97.7875,0.08249115,97.63333333,0.074070067,97.58,604.3960183
MNIST,N,10,./checkpoints/MNIST/Run2_checkpoint_10.pth,0.114578818,96.41041667,0.125331249,96.175,0.116980219,96.33,604.3390222
MNIST,N,11,./checkpoints/MNIST/Run2_checkpoint_11.pth,0.091708044,97.6875,0.101526175,97.5,0.09512836,97.36,604.3733807
MNIST,N,12,./checkpoints/MNIST/Run2_checkpoint_12.pth,0.0689467,97.90416667,0.080347356,97.625,0.06924115,97.73,604.3631787
MNIST,N,13,./checkpoints/MNIST/Run2_checkpoint_13.pth,0.07866234,97.6125,0.088273871,97.275,0.082917529,97.45,604.6350551
MNIST,N,14,./checkpoints/MNIST/Run2_checkpoint_14.pth,0.065414907,98.0125,0.075538304,97.69166667,0.067459914,97.83,604.3912148
MNIST,N,15,./checkpoints/MNIST/Run2_checkpoint_15.pth,0.077836733,97.8,0.087602753,97.56666667,0.079290278,97.74,604.5101607
MNIST,N,Ensemble,,,,,,,97.88,
CIFAR10,N,-1,./checkpoints/CIFAR10/Run2_full_checkpoint.pth,0.073327545,97.6775,0.235977377,92.35,0.227413591,92.37,-1
CIFAR10,N,-1,./checkpoints/CIFAR10/Run2_full_checkpoint.pth,0.073327545,97.6775,0.235977377,92.35,0.227413591,92.37,-1
CIFAR10,N,1,./checkpoints/CIFAR10/Run2_checkpoint_1.pth,0.109965951,96.735,0.284103248,91.23,0.264109733,91.67,647.9976487
CIFAR10,N,3,./checkpoints/CIFAR10/Run2_checkpoint_3.pth,0.130378214,96.1075,0.295914457,90.6,0.274993144,90.85,650.8199186
CIFAR10,N,4,./checkpoints/CIFAR10/Run2_checkpoint_4.pth,1.592218136,86.305,1.629120012,80.76,1.629384083,81.23,650.2694931
CIFAR10,N,5,./checkpoints/CIFAR10/Run2_checkpoint_5.pth,0.155998355,95.355,0.307262101,90.33,0.289054424,90.91,650.1849761
CIFAR10,N,6,./checkpoints/CIFAR10/Run2_checkpoint_6.pth,0.112867743,96.805,0.263532285,91.62,0.260604596,91.55,650.674407
CIFAR10,N,7,./checkpoints/CIFAR10/Run2_checkpoint_7.pth,0.15618577,95.955,0.31217023,90.41,0.299433226,90.66,650.1853366
CIFAR10,N,8,./checkpoints/CIFAR10/Run2_checkpoint_8.pth,0.149982653,96.065,0.312356327,90.39,0.295502418,91.21,650.7651293
CIFAR10,N,9,./checkpoints/CIFAR10/Run2_checkpoint_9.pth,0.130373673,96.21,0.28688944,91.01,0.271074981,91.24,650.1342356
CIFAR10,N,10,./checkpoints/CIFAR10/Run2_checkpoint_10.pth,0.137186144,95.855,0.289750061,91.03,0.281079223,90.83,650.3441265
CIFAR10,N,11,./checkpoints/CIFAR10/Run2_checkpoint_11.pth,0.137695926,95.7275,0.307104772,90.17,0.284241804,90.6,650.0641525
CIFAR10,N,12,./checkpoints/CIFAR10/Run2_checkpoint_12.pth,0.201919642,95.2075,0.34856289,89.93,0.337375203,90.03,650.0164509
CIFAR10,N,13,./checkpoints/CIFAR10/Run2_checkpoint_13.pth,0.121626755,96.3675,0.287807742,90.78,0.276265091,91.13,650.8670974
CIFAR10,N,14,./checkpoints/CIFAR10/Run2_checkpoint_14.pth,0.158025524,96.0575,0.298392429,90.83,0.29059743,91,650.9000883
CIFAR10,N,15,./checkpoints/CIFAR10/Run2_checkpoint_15.pth,0.101053488,96.605,0.269939823,91.07,0.251334823,91.38,650.8082199
CIFAR10,N,Ensemble,,,,,,,92.59,
CIFAR10,Y,-1,./checkpoints/CIFAR10/Run2_full_checkpoint.pth,0.073404481,97.685,0.237287877,92.31,0.222332932,92.51,-1
CIFAR10,Y,-1,./checkpoints/CIFAR10/Run2_full_checkpoint.pth,0.073404481,97.685,0.237287877,92.31,0.222332932,92.51,-1
CIFAR10,Y,1,./checkpoints/CIFAR10/Run2_checkpoint_1.pth,0.059360305,98.1725,0.230147252,92.94,0.21932132,92.76,644.7402854
CIFAR10,Y,2,./checkpoints/CIFAR10/Run2_checkpoint_2.pth,0.051192282,98.3975,0.227359729,92.84,0.218494863,92.96,647.6336658
CIFAR10,Y,3,./checkpoints/CIFAR10/Run2_checkpoint_3.pth,0.037067834,98.8425,0.232741336,92.69,0.219240984,93.05,650.1688964
CIFAR10,Y,4,./checkpoints/CIFAR10/Run2_checkpoint_4.pth,0.032140866,99.04,0.242973018,92.96,0.221044898,93.15,650.2710991
CIFAR10,Y,5,./checkpoints/CIFAR10/Run2_checkpoint_5.pth,0.027961725,99.215,0.246175362,92.62,0.222541126,93.31,650.227325
CIFAR10,Y,7,./checkpoints/CIFAR10/Run2_checkpoint_7.pth,0.024112156,99.3175,0.239223232,92.97,0.22520681,93.44,650.0591297
CIFAR10,Y,8,./checkpoints/CIFAR10/Run2_checkpoint_8.pth,0.015446261,99.64,0.234482506,93.3,0.213940982,93.61,650.2553439
CIFAR10,Y,9,./checkpoints/CIFAR10/Run2_checkpoint_9.pth,0.018353205,99.6275,0.230344403,93.15,0.228189385,93.38,650.2878594
CIFAR10,Y,10,./checkpoints/CIFAR10/Run2_checkpoint_10.pth,0.031478171,99.67,0.217216711,93.32,0.200094235,93.75,650.1436393
CIFAR10,Y,12,./checkpoints/CIFAR10/Run2_checkpoint_12.pth,0.01553405,99.6825,0.232513982,93.32,0.215563095,93.56,650.3336494
CIFAR10,Y,13,./checkpoints/CIFAR10/Run2_checkpoint_13.pth,0.012551699,99.7275,0.238145624,93.39,0.216223799,93.81,650.2563758
CIFAR10,Y,14,./checkpoints/CIFAR10/Run2_checkpoint_14.pth,0.012699582,99.75,0.225017535,93.52,0.230139656,93.21,650.1702979
CIFAR10,Y,15,./checkpoints/CIFAR10/Run2_checkpoint_15.pth,0.010369979,99.8025,0.244075908,93.49,0.23066624,93.49,650.2127144
CIFAR10,Y,Ensemble,,,,,,,93.42,
