N,Layer1_Size,Layer2_Size,Fraction,Solutions,Avg time
15,2,1,2,No,0.09473946094512939
15,2,1,1,No,0.09749343395233154
15,2,2,10,No,0.08369650840759277
15,2,2,4,No,0.08126928806304931
15,2,2,2,No,0.09757418632507324
15,2,2,1,No,0.09541044235229493
15,3,1,10,No,0.09296531677246093
15,3,1,4,No,0.0934988260269165
15,3,1,2,No,0.08498499393463135
15,3,1,1,No,0.09266002178192138
15,3,2,10,No,0.09518153667449951
15,3,2,4,No,0.10203375816345214
15,3,2,2,No,0.10150392055511474
15,3,2,1,No,0.0849527359008789
15,3,3,10,No,0.10038409233093262
15,3,3,4,No,0.11780471801757812
15,3,3,2,No,0.10075953006744384
15,3,3,1,No,0.08608348369598388
15,4,1,10,No,0.08153038024902344
15,4,1,4,No,0.08890135288238525
15,4,1,2,No,0.09906508922576904
15,4,1,1,No,0.08408870697021484
15,4,2,10,No,0.08319416046142578
15,4,2,4,No,0.09114704132080079
15,4,2,2,No,0.08997125625610351
15,4,2,1,No,0.09709525108337402
15,4,3,10,No,0.08938426971435547
15,4,3,4,No,0.08124492168426514
15,4,3,2,No,0.10173020362854004
15,4,3,1,No,0.09305670261383056
15,4,4,10,No,0.0763554334640503
15,4,4,4,No,0.09100852012634278
15,4,4,2,No,0.09277451038360596
15,4,4,1,No,0.09739766120910645
20,1,1,10,No,0.21418745517730714
20,1,1,4,No,0.20125279426574708
20,1,1,2,No,0.1982487201690674
20,1,1,1,No,0.19749863147735597
20,2,1,10,No,0.2415693759918213
20,2,1,4,No,0.24327008724212645
20,2,1,2,No,0.21515462398529053
20,2,1,1,No,0.2389465570449829
20,2,2,10,No,0.24859929084777832
20,2,2,4,No,0.17828102111816407
20,2,2,2,No,0.2334524154663086
20,2,2,1,No,0.2513415813446045
20,3,1,10,No,0.20495867729187012
20,3,1,4,No,0.292642617225647
20,3,1,2,No,0.2482748508453369
20,3,1,1,No,0.20939164161682128
20,3,2,10,No,0.2062079906463623
20,3,2,4,No,0.21791532039642333
20,3,2,2,No,0.27037677764892576
20,3,2,1,No,0.1702091932296753
20,3,3,10,No,0.25005412101745605
20,3,3,4,No,0.23170552253723145
20,3,3,2,No,0.23684945106506347
20,3,3,1,No,0.23230180740356446
20,4,1,10,No,0.19325122833251954
20,4,1,4,No,0.2542379379272461
20,4,1,2,No,0.24636011123657225
20,4,1,1,No,0.2238629102706909
20,4,2,10,No,0.26439533233642576
20,4,2,4,No,0.24078912734985353
20,4,2,2,No,0.22664475440979004
20,4,2,1,No,0.22564053535461426
20,4,3,10,No,0.1969520092010498
20,4,3,4,No,0.22202367782592775
20,4,3,2,No,0.23333163261413575
20,4,3,1,No,0.20889604091644287
20,4,4,10,No,0.2378192663192749
20,4,4,4,No,0.21839621067047119
20,4,4,2,No,0.23682839870452882
20,4,4,1,No,0.21814446449279784
25,1,1,10,No,0.5815481185913086
25,1,1,4,No,0.6641082048416138
25,1,1,2,No,0.5727396965026855
25,1,1,1,No,0.6273807764053345
25,2,1,10,No,0.5310197830200195
25,2,1,4,No,0.6700592517852784
25,2,1,2,No,0.7259785890579223
25,2,1,1,No,0.6852176666259766
