Phase,Epoch,Loss,Accuracy
Train,180,0.1560,95.69
Train,181,0.1538,95.79
Train,182,0.1519,95.77
Train,183,0.1478,95.92
Train,184,0.1433,96.17
Train,185,0.1409,96.27
Train,186,0.1381,96.29
Train,187,0.1362,96.35
Train,188,0.1330,96.50
Train,189,0.1297,96.60
Train,190,0.1274,96.64
Train,191,0.1259,96.71
Train,192,0.1234,96.83
Train,193,0.1227,96.91
Train,194,0.1214,96.85
Train,195,0.1201,96.99
Train,196,0.1191,96.98
Train,197,0.1182,96.99
Train,198,0.1163,97.02
Train,199,0.1175,97.03
Train,200,0.1173,97.05
Train_Test,-1,87.34598388057202,94.00
ResumeTrain,201,0.0991,97.77
ResumeTrain,202,0.0986,97.77
ResumeTrain,203,0.0972,97.79
ResumeTrain,204,0.0963,97.77
ResumeTrain,205,0.0957,97.76
ResumeTrain,206,0.0950,97.76
ResumeTrain,207,0.0944,97.74
ResumeTrain,208,0.0936,97.78
ResumeTrain,209,0.0926,97.81
ResumeTrain,210,0.0913,97.83
ResumeTrain,211,0.0897,97.90
ResumeTrain,212,0.0883,97.92
ResumeTrain,213,0.0857,97.93
ResumeTrain,214,0.0839,97.97
ResumeTrain,215,0.0812,98.07
ResumeTrain,216,0.0792,98.09
ResumeTrain,217,0.0775,98.13
ResumeTrain,218,0.0759,98.05
ResumeTrain,219,0.0753,98.12
ResumeTrain,220,0.0752,98.04
ResumeTrain,221,0.0756,98.00
ResumeTrain,222,0.0764,97.94
ResumeTrain,223,0.0775,97.85
ResumeTrain,224,0.0779,97.83
ResumeTrain,225,0.0811,97.68
ResumeTrain,226,0.0848,97.52
ResumeTrain,227,0.0856,97.49
ResumeTrain,228,0.0884,97.36
ResumeTrain,229,0.0912,97.27
ResumeTrain,230,0.0950,97.18
ResumeTrain_Test,-1,112.05695029348135,93.00
GurobiEdit,1,2.3026,11.40
GurobiEdit,2,2.3023,14.70
GurobiEdit,3,2.3006,33.34
GurobiEdit,4,2.2954,55.19
GurobiEdit,5,2.2819,57.64
GurobiEdit,6,2.2318,49.18
GurobiEdit,7,2.1023,39.78
GurobiEdit,8,1.8817,35.63
GurobiEdit,9,1.6397,49.19
GurobiEdit,10,1.4116,55.20
GurobiEdit,11,1.1976,64.64
GurobiEdit,12,0.9791,74.02
GurobiEdit,13,0.7904,77.66
GurobiEdit,14,0.6227,84.73
GurobiEdit,15,0.4706,90.14
GurobiEdit,16,0.3905,91.33
GurobiEdit,17,0.3483,91.89
GurobiEdit,18,0.3226,92.39
GurobiEdit,19,0.3046,92.65
GurobiEdit,20,0.2886,93.10
GurobiEdit,21,0.2792,93.30
GurobiEdit,22,0.2698,93.53
GurobiEdit,23,0.2618,93.74
GurobiEdit,24,0.2565,93.91
GurobiEdit,25,0.2533,94.00
GurobiEdit,26,0.2500,94.04
GurobiEdit,27,0.2476,94.01
GurobiEdit,28,0.2470,94.14
GurobiEdit,29,0.2493,93.39
GurobiEdit,30,0.2276,93.67
GurobiEdit,31,0.2122,94.14
GurobiEdit,32,0.2052,94.45
GurobiEdit,33,0.2065,94.44
GurobiEdit,34,0.2037,94.50
GurobiEdit,35,0.2065,94.43
GurobiEdit,36,0.2096,94.29
GurobiEdit,37,0.2068,94.46
GurobiEdit,38,0.2083,94.30
GurobiEdit,39,0.2118,94.24
GurobiEdit,40,0.2133,94.14
GurobiEdit,41,0.2177,94.14
GurobiEdit,42,0.2189,94.04
GurobiEdit,43,0.2277,93.73
GurobiEdit,44,0.2273,93.81
GurobiEdit_Test,-1,129.8780646547675,91.50
