Dataset,Run,Training_Type,Method,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc
CIFAR10,3,AWP,S,0.1963966113090515,94.7475,0.27832295122146605,91.25,0.2882964904308319,90.84
CIFAR10,1,AWP,S,0.19016709036827087,94.9775,0.27892360215187073,90.62,0.285701536655426,90.77
CIFAR10,2,AWP,S,0.20025584384202957,94.505,0.3023394994735718,89.94,0.29833364709615706,90.26
CIFAR10,3,AWP,S,0.19709986100196838,94.6725,0.2760974092483521,91.36,0.2903154903888702,90.63
CIFAR10,1,AWP,S,0.19070192258358,94.8925,0.2801314475536346,90.66,0.2892228147983551,90.6
CIFAR10,2,AWP,S,0.20149906706809997,94.385,0.30472059326171874,89.66,0.291863292324543,90.83
CIFAR10,3,AWP,S,0.19686409928798676,94.6825,0.27440306034088136,91.21,0.2895890009880066,90.63
CIFAR10,1,AWP,S,0.19190263485908507,94.85,0.28561187224388124,90.73,0.28713034362792966,90.72
CIFAR10,2,AWP,S,0.19970732123851775,94.53,0.3041290514945984,90.24,0.2909231919288635,90.68
CIFAR10,3,AWP,S,0.19698731398582459,94.7225,0.2731821602344513,91.48,0.29228247213363645,90.58
CIFAR10,3,AWP,S,0.19708024320602416,94.5975,0.2746295466423035,91.43,0.28566463694572447,90.85
CIFAR10,1,AWP,S,0.19137944712638855,94.86,0.2808713817834854,91.22,0.28611710097789766,90.65
CIFAR10,2,AWP,S,0.19952823907136918,94.355,0.30727261657714844,89.95,0.29237793209552765,90.63
CIFAR10,3,AWP,S,0.19454708421230316,94.61,0.2738680662155151,91.52,0.29212464628219603,90.48
CIFAR10,1,AWP,S,0.19098513033390044,94.88,0.2820724053621292,90.75,0.2867787323713303,90.89
CIFAR10,2,AWP,S,0.20014071445465087,94.475,0.30570634088516235,90.04,0.2901288477897644,90.84
CIFAR10,3,AWP,S,0.1972593949317932,94.6825,0.2736443142414093,91.13,0.2902419302940369,90.79
CIFAR10,1,AWP,S,0.19156135880947114,94.9975,0.27553961715698244,90.83,0.284371818113327,90.93
CIFAR10,2,AWP,S,0.2014568662405014,94.305,0.30722020626068114,90.07,0.2920406082034111,90.55
CIFAR10,3,AWP,S,0.19563340191841125,94.6225,0.2745877521514893,91.39,0.28696942710876466,90.89
CIFAR10,1,AWP,S,0.191312779211998,94.8875,0.2798023054480553,90.75,0.2811937495470047,90.99
CIFAR10,2,AWP,S,0.19940764067173003,94.4275,0.3061588550567627,89.98,0.2953366317987442,90.72
CIFAR10,3,AWP,S,0.19615360939502716,94.6325,0.2740144170284271,91.37,0.2862035844564438,90.93
CIFAR10,3,AWP,S,0.19586116335391998,94.6825,0.27490406761169434,91.48,0.28846970007419587,90.71
CIFAR10,1,AWP,S,0.19195239543914794,94.8175,0.28232579696178434,90.81,0.2866651383161545,90.66
CIFAR10,2,AWP,S,0.19939902696609496,94.47,0.3067413724899292,89.9,0.2928065544843674,90.71
CIFAR10,1,AWP,S,0.19119565026760102,94.935,0.27942048313617707,91.0,0.2879741774082184,90.65
CIFAR10,2,AWP,S,0.20098828656673431,94.365,0.30446601181030275,89.9,0.29216367267370225,90.7
CIFAR10,3,AWP,S,0.19652068009376525,94.7625,0.2778800633430481,91.45,0.2871577603340149,90.68
CIFAR10,1,AWP,S,0.19120150439739228,94.91,0.28102354412078856,91.18,0.2853630265235901,90.87
CIFAR10,2,AWP,S,0.20068711762428285,94.32,0.3095120858192444,89.98,0.29476252790689467,90.53
CIFAR10,3,AWP,S,0.19786574168205262,94.55,0.27244534945487975,91.48,0.2896409799814224,90.64
CIFAR10,3,AWP,S,0.1954111937046051,94.8075,0.2782106200695038,91.13,0.2890844307899475,90.78
CIFAR10,1,AWP,S,0.19228772859573365,94.9325,0.2832161481618881,91.03,0.2870415476083755,90.75
CIFAR10,2,AWP,S,0.19814188008308412,94.535,0.30547764644622805,90.19,0.2954642369866371,90.64
office31,1,AWP,S,0.06665640079875539,99.00166389351081,0.8646092303759522,77.33333333333333,0.8666930310891322,78.86323268206039
office31,2,AWP,S,0.1897737427428158,97.06045479755963,0.9451805800861782,74.0,0.921670269055646,76.02131438721136
office31,2,AWP,S,0.18977366421729144,97.06045479755963,0.9451805800861782,74.0,0.921670269055646,76.02131438721136
office31,3,AWP,S,0.014692677567082525,99.55629506378258,0.9437932321760389,75.77777777777777,0.8026241684468135,79.57371225577265
office31,1,AWP,S,0.06665628201354562,99.00166389351081,0.8646092303759522,77.33333333333333,0.8666930310891322,78.86323268206039
office31,2,AWP,S,0.18977374059917262,97.06045479755963,0.9451805800861782,74.0,0.921670269055646,76.02131438721136
office31,3,AWP,S,0.014692680823450875,99.55629506378258,0.9437932321760389,75.77777777777777,0.8026241684468135,79.57371225577265
office31,1,AWP,S,0.06665633300642669,99.00166389351081,0.8646092303759522,77.33333333333333,0.8666930310891322,78.86323268206039
office31,2,AWP,S,0.18977363343974055,97.06045479755963,0.9451805800861782,74.0,0.921670269055646,76.02131438721136
office31,1,AWP,S,0.06665627664978875,99.00166389351081,0.8646092303759522,77.33333333333333,0.8666930310891322,78.86323268206039
office31,2,AWP,S,0.1897736149682512,97.06045479755963,0.9451805800861782,74.0,0.921670269055646,76.02131438721136
office31,3,AWP,S,0.014692680724145956,99.55629506378258,0.9437932321760389,75.77777777777777,0.8026241684468135,79.57371225577265
office31,1,AWP,S,0.06665641328818886,99.00166389351081,0.8646092303759522,77.33333333333333,0.8666930310891322,78.86323268206039
office31,2,AWP,S,0.18977377438505558,97.06045479755963,0.9451805800861782,74.0,0.921670269055646,76.02131438721136
office31,3,AWP,S,0.01469267563005554,99.55629506378258,0.9437932321760389,75.77777777777777,0.8026241684468135,79.57371225577265
office31,1,AWP,S,0.06665640921061791,99.00166389351081,0.8646092303759522,77.33333333333333,0.8666930310891322,78.86323268206039
office31,2,AWP,S,0.18977379000524117,97.06045479755963,0.9451805800861782,74.0,0.921670269055646,76.02131438721136
office31,3,AWP,S,0.014692644190396524,99.55629506378258,0.9437932321760389,75.77777777777777,0.8026241684468135,79.57371225577265
office31,1,AWP,S,0.06665641097150458,99.00166389351081,0.8646092303759522,77.33333333333333,0.8666930310891322,78.86323268206039
Caltech101,1,SAM,S,0.0030879586635574646,100.0,0.278221574851772,92.77478862413528,0.3205337179537026,91.79345320424159
Caltech101,2,SAM,S,0.00474779842234647,100.0,0.24526282837993818,93.23597232897771,0.31327381995263986,92.48501613646842
Caltech101,3,SAM,S,0.005093363290627587,100.0,0.3111552861615798,92.23674096848578,0.34097934612182496,91.79345320424159
Caltech101,1,SAM,S,0.0030879588982664964,100.0,0.278221574851772,92.77478862413528,0.3205337179537026,91.79345320424159
Caltech101,2,SAM,S,0.004747805834733182,100.0,0.24526282837993818,93.23597232897771,0.31327381995263986,92.48501613646842
Caltech101,3,SAM,S,0.0050933614601833726,100.0,0.3111552861615798,92.23674096848578,0.34097934612182496,91.79345320424159
Caltech101,1,SAM,S,0.0030879643081128884,100.0,0.278221574851772,92.77478862413528,0.3205337179537026,91.79345320424159
Caltech101,2,SAM,S,0.004747793312684343,100.0,0.24526282837993818,93.23597232897771,0.31327381995263986,92.48501613646842
Caltech101,3,SAM,S,0.0050933579382956415,100.0,0.3111552861615798,92.23674096848578,0.34097934612182496,91.79345320424159
Caltech101,1,SAM,S,0.003087959828068471,100.0,0.278221574851772,92.77478862413528,0.3205337179537026,91.79345320424159
Caltech101,2,SAM,S,0.004747797642726074,100.0,0.24526282837993818,93.23597232897771,0.31327381995263986,92.48501613646842
Caltech101,3,SAM,S,0.005093354847005959,100.0,0.3111552861615798,92.23674096848578,0.34097934612182496,91.79345320424159
