Dataset,Method,RunID,Candidate,W_offset_sum,b_offset_sum,Objective_value,n,Misclassified,Accuracy_Full,Accuracy_Val,GlobalMisclassified
SVHN,MisCls_Any,2,0,0.0845152108494398,0.42365870219707497,0.5081739130465148,1000,10,95.69831925603619,93.5977066411849,145
SVHN,MisCls_Any,3,0,0.9355858847563405,0.06755271157017276,1.0031385963265134,1000,10,96.50200494838325,93.97310763770392,200
KMNIST,MisCls_Any,1,0,5.487897030220634,0.0,5.487897030220634,1000,10,99.21875,98.45,374
KMNIST,MisCls_Any,2,0,7.045297593052237,0.0,7.045297593052236,1000,10,99.12083333333334,98.475,422
KMNIST,MisCls_Any,3,0,5.86094518447298,0.0,5.860945184472981,1000,10,98.24166666666667,97.675,844
FashionMNIST,MisCls_Any,1,0,0.5317442226735245,0.0,0.5317442201324266,1000,10,96.89583333333334,92.40833333333333,507
FashionMNIST,MisCls_Any,2,0,0.9996719773143987,0.0,0.9996719773143988,1000,10,97.21041666666666,92.59166666666667,583
FashionMNIST,MisCls_Any,3,0,1.7265166509831489,0.0,1.7265150690625268,1000,10,95.3125,93.375,246
Food101,MisCls_Any,1,0,0.7237943007760397,0.0524922220058586,0.7762865227818982,1000,10,77.66666666666666,60.86666666666667,60
Food101,MisCls_Any,2,0,0.5629013216774903,0.07158850105458407,0.6344898227320743,1000,10,82.05,64.60000000000001,47
Food101,MisCls_Any,3,0,0.39826571834973246,0.0,0.39826571834973234,1000,10,87.63333333333333,65.13333333333333,32
EMNIST,MisCls_Any,1,0,0.7350233450942774,0.0,0.7350233450942774,1000,10,0.41466346153846156,0.500801282051282,990
EMNIST,MisCls_Any,2,0,0.22652691686171228,0.0,0.22652691686171228,1000,10,0.13922275641025642,0.21233974358974358,494
EMNIST,MisCls_Any,3,0,0.12095035359692863,0.0,0.12095035359692863,1000,10,0.22836538461538464,0.28044871794871795,416
CIFAR10,MisCls_Correct,1,0,3.5021432480402597,0.26892088210061615,3.7710641301408767,1000,10,89.46,85.75,513
CIFAR10,MisCls_Correct,2,0,4.51667103689393,0.0,4.51667103629932,1000,10,89.4475,85.16,689
CIFAR10,MisCls_Correct,3,0,8.60048736854369,1.0812504347017908,9.681737803245479,1000,10,88.91250000000001,85.56,623
MNIST,MisCls_Correct,2,0,0.1222484211845073,0.0,0.12224842118450728,1000,10,98.41458333333334,97.60833333333333,537
MNIST,MisCls_Correct,3,0,0.15832602843539717,0.0,0.15832602843539723,1000,10,98.55416666666666,97.425,495
MNIST,MisCls_Correct,5,0,0.04349791654804343,0.0,0.043497773131203024,1000,10,98.75416666666666,98.16666666666667,189
Food101,MisCls_Correct,1,0,6.758051235919428,0.5077511540061757,7.265802389925611,1000,10,77.31666666666666,60.13333333333334,116
Food101,MisCls_Correct,2,0,5.698422131119125,0.43938396953269826,6.137806100651825,1000,10,81.73333333333333,64.06666666666668,126
Food101,MisCls_Correct,3,0,7.411308206966478,0.6942160928680134,8.105524299834492,1000,10,87.15,64.2,138
SVHN,MisCls_Correct,1,0,11.741527292120551,0.0,11.74152729212055,1000,10,95.2103062878594,92.03467340113303,1321
SVHN,MisCls_Correct,2,0,9.941610014507805,0.0,9.941610014507805,1000,10,93.77356880812218,91.5159374786704,1369
SVHN,MisCls_Correct,3,0,10.587706666135356,0.5464656503329393,11.134172316468295,1000,10,95.31439296988312,92.82642823015493,1039
USPS,MisCls_Correct,1,0,31.719734408781868,0.0,31.71973440878187,1000,10,94.15294924554183,91.28943758573388,340
USPS,MisCls_Correct,3,0,1.3406725810278548,0.0,1.3406725810278546,1000,10,98.28532235939643,98.14814814814815,101
USPS,MisCls_Correct,4,0,3.3476936576877523,0.0,3.347693656470804,1000,10,98.90260631001372,98.42249657064473,64
KMNIST,MisCls_Correct,1,0,6.757847026688135,0.0,6.757847025872805,1000,10,98.81666666666666,98.1,565
KMNIST,MisCls_Correct,2,0,6.5917051581787485,0.0,6.5917051581787485,1000,10,99.10416666666667,98.54166666666667,430
KMNIST,MisCls_Correct,3,0,5.675634984236129,0.0,5.675634983290665,1000,10,98.15416666666667,97.275,886
FashionMNIST,MisCls_Correct,1,0,9.82516253417051,0.0,9.825162534170513,1000,10,96.1125,91.66666666666666,734
FashionMNIST,MisCls_Correct,2,0,10.900543936062666,0.0,10.900543936062665,1000,10,95.87083333333334,91.175,1168
FashionMNIST,MisCls_Correct,3,0,3.7090163048422626,0.0,3.7090163038683492,1000,10,94.31458333333333,92.35,482
Caltech101,MisCls_Correct,1,0,2.607496520757554,0.0,2.607496520757554,1000,10,98.71302343449867,88.16295157571099,66
Caltech101,MisCls_Correct,2,0,5.195440736784981,0.0,5.195440736784982,1000,10,98.75144064540913,87.39431206764027,61
office31,MisCls_Correct,3,0,2.538675908041549,0.0,2.538675908041549,1000,10,98.94620077648364,72.22222222222221,19
