Dataset,Run,Training_Type,Method,CMC_Type,Misclassification_Count,Gurobi_Samples,Stage,Checkpoint,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Test_Loss,Test_Acc
CIFAR10,2,AWP,CMC,Any,1,100,Model_init_CMC,./checkpoints_AWP/CIFAR10_CO/Any_1_N100/Run2_full_checkpoint.pth,0.2007336315870285,94.345,0.30775321130752564,89.99,0.2954215671777725,90.51
CIFAR10,2,AWP,CMC,Any,1,100,Model_init_CMC_AGAIN_UNTIL_CONVERGENCE,./checkpoints_AWP/CIFAR10_CO/Any_1_N100/Run2_full_checkpoint_Resume.pth,0.20274735217094422,94.645,0.30481988096237184,90.09,0.29503659002780913,90.56
CIFAR10,3,AWP,CMC,Any,1,100,Model_init,./checkpoints_AWP/CIFAR10/Run3_full_checkpoint.pth,0.19722442326545717,94.6425,0.27508326153755186,91.46,0.2843032504558563,91.15
CIFAR10,3,AWP,CMC,Any,1,100,Model_init_50,./checkpoints_AWP/CIFAR10/Run3_full_checkpoint_50.pth,0.03779837181568146,99.3825,0.1455671392917633,95.39,0.14967875030040742,95.11
CIFAR10,3,AWP,CMC,Any,1,100,Model_init_CMC,./checkpoints_AWP/CIFAR10_CO/Any_1_N100/Run3_full_checkpoint.pth,0.19545039279460907,94.69,0.27432832746505736,91.31,0.2860257839679718,90.96
CIFAR10,3,AWP,CMC,Any,1,100,Model_init_CMC_AGAIN_UNTIL_CONVERGENCE,./checkpoints_AWP/CIFAR10_CO/Any_1_N100/Run3_full_checkpoint_Resume.pth,0.18852436695098876,94.9825,0.27214265384674075,91.39,0.28145675549507143,90.99
CIFAR10,1,AWP,CMC,Correct,1,250,Model_init,./checkpoints_AWP/CIFAR10/Run1_full_checkpoint.pth,0.19106778626441956,94.9825,0.2811064107656479,90.88,0.2834519811153412,90.79
CIFAR10,1,AWP,CMC,Correct,1,250,Model_init_50,./checkpoints_AWP/CIFAR10/Run1_full_checkpoint_50.pth,0.034742224770784376,99.4425,0.15223841093331575,94.65,0.15163822796344756,95.0
CIFAR10,1,AWP,CMC,Correct,1,250,Model_init_CMC,./checkpoints_AWP/CIFAR10_CO/Correct_1_N250/Run1_full_checkpoint.pth,0.1914338083267212,94.9575,0.28136411185264587,90.8,0.2872785793304443,90.66
CIFAR10,1,AWP,CMC,Correct,1,250,Model_init_CMC_AGAIN_UNTIL_CONVERGENCE,./checkpoints_AWP/CIFAR10_CO/Correct_1_N250/Run1_full_checkpoint_Resume.pth,0.02877500459253788,99.5625,0.14954400525093078,94.79,0.1484115585207939,95.04
CIFAR10,2,AWP,CMC,Correct,1,250,Model_init,./checkpoints_AWP/CIFAR10/Run2_full_checkpoint.pth,0.20043776745796205,94.37,0.30956860675811765,89.86,0.2960304556250572,90.87
