Phase,Epoch,Loss,Accuracy
Train,173,0.2104,92.33
Train,174,0.2093,92.36
Train,175,0.2075,92.50
Train,176,0.2068,92.54
Train,177,0.2053,92.51
Train,178,0.2037,92.53
Train,179,0.2026,92.61
Train,180,0.2014,92.78
Train,181,0.1996,92.71
Train,182,0.1983,92.77
Train,183,0.1970,92.89
Train,184,0.1956,92.93
Train,185,0.1949,92.93
Train,186,0.1941,92.97
Train,187,0.1927,93.01
Train,188,0.1920,93.12
Train,189,0.1912,93.07
Train,190,0.1904,93.12
Train,191,0.1899,93.17
Train,192,0.1892,93.16
Train,193,0.1887,93.17
Train,194,0.1882,93.25
Train,195,0.1879,93.25
Train,196,0.1875,93.28
Train,197,0.1873,93.25
Train,198,0.1871,93.26
Train,199,0.1869,93.28
Train,200,0.1868,93.28
Train_Test,-1,46.01737414300442,89.79
ResumeTrain,201,0.1868,93.28
ResumeTrain,202,0.1868,93.28
ResumeTrain,203,0.1869,93.29
ResumeTrain,204,0.1873,93.27
ResumeTrain,205,0.1871,93.28
ResumeTrain,206,0.1873,93.29
ResumeTrain,207,0.1874,93.24
ResumeTrain,208,0.1876,93.25
ResumeTrain,209,0.1877,93.20
ResumeTrain,210,0.1878,93.29
ResumeTrain_Test,-1,46.1830899938941,89.88
GurobiEdit,1,2.2860,93.28
GurobiEdit,2,2.2776,89.65
GurobiEdit,3,2.2366,79.58
GurobiEdit,4,2.0593,69.75
GurobiEdit,5,1.2572,75.09
GurobiEdit,6,0.6059,79.38
GurobiEdit,7,0.4857,82.89
GurobiEdit,8,0.4276,85.03
GurobiEdit,9,0.3872,86.49
GurobiEdit,10,0.3569,87.55
GurobiEdit,11,0.3327,88.33
GurobiEdit,12,0.3127,89.08
GurobiEdit,13,0.2948,89.83
GurobiEdit,14,0.2803,90.18
GurobiEdit,15,0.2711,90.45
GurobiEdit,16,0.2606,90.79
GurobiEdit,17,0.2516,91.04
GurobiEdit,18,0.2441,91.18
GurobiEdit,19,0.2389,91.34
GurobiEdit,20,0.2323,91.60
GurobiEdit,21,0.2273,91.73
GurobiEdit,22,0.2240,91.90
GurobiEdit,23,0.2201,92.04
GurobiEdit,24,0.2170,92.09
GurobiEdit,25,0.2128,92.28
GurobiEdit,26,0.2094,92.31
GurobiEdit,27,0.2070,92.45
GurobiEdit,28,0.2044,92.53
GurobiEdit,29,0.2022,92.59
GurobiEdit,30,0.2002,92.58
GurobiEdit,31,0.1980,92.77
GurobiEdit,32,0.1962,92.86
GurobiEdit,33,0.1948,92.77
GurobiEdit,34,0.1940,92.89
GurobiEdit,35,0.1925,92.95
GurobiEdit,36,0.1927,92.89
GurobiEdit,37,0.1902,92.96
GurobiEdit,38,0.1900,92.99
GurobiEdit,39,0.1898,93.04
GurobiEdit,40,0.1893,93.07
GurobiEdit,41,0.1887,92.98
GurobiEdit,42,0.1903,92.95
GurobiEdit,43,0.1896,93.00
GurobiEdit,44,0.1885,93.07
GurobiEdit,45,0.1908,92.95
GurobiEdit,46,0.1909,93.00
GurobiEdit,47,0.1905,92.99
GurobiEdit,48,0.1908,93.00
GurobiEdit,49,0.1913,92.91
GurobiEdit,50,0.1928,92.91
GurobiEdit,51,0.1953,92.77
GurobiEdit,52,0.1936,92.83
GurobiEdit,53,0.1953,92.75
GurobiEdit,54,0.1961,92.85
GurobiEdit_Test,-1,47.76220288872719,89.52
