Epoch,Train Loss,Train Acc,Test Acc,Method
272,0.49663183,0.75675368,0.70112187,Train
273,0.49390304,0.75814325,0.70122385,Train
274,0.49250931,0.75804126,0.69989800,Train
275,0.49352115,0.75642216,0.70061195,Train
276,0.49485865,0.75670266,0.69974500,Train
277,0.49460554,0.75811779,0.70050997,Train
278,0.49287415,0.75883168,0.70091790,Train
279,0.49157998,0.75880623,0.70071393,Train
280,0.49168453,0.75823253,0.70030594,Train
281,0.49254662,0.75774807,0.69984704,Train
282,0.49302828,0.75799030,0.69999999,Train
283,0.49251294,0.75898468,0.69999999,Train
284,0.49143997,0.75950742,0.69938809,Train
285,0.49051154,0.75990260,0.69949007,Train
286,0.49020800,0.76003009,0.70020396,Train
287,0.49044794,0.75960940,0.69994903,Train
288,0.49087608,0.75864047,0.69974500,Train
289,0.49120763,0.75876796,0.69999999,Train
290,0.49125874,0.75899744,0.70040798,Train
291,0.49105212,0.75962210,0.70005101,Train
292,0.49057239,0.75988984,0.70050997,Train
293,0.48998439,0.76082051,0.69923508,Train
294,0.48936665,0.76090974,0.69949007,Train
295,0.48883268,0.76154721,0.69903111,Train
296,0.48841268,0.76166195,0.69928610,Train
297,0.48810595,0.76187867,0.69928610,Train
298,0.48788539,0.76227385,0.69954103,Train
299,0.48772654,0.76210815,0.69898009,Train
300,0.48762545,0.76168740,0.69918406,Train
301,0.48761338,0.76144522,0.69954103,Train
302,0.48779514,0.76113921,0.69928610,Train
303,0.48840350,0.75952011,0.69923508,Train
304,0.49003038,0.75637120,0.69949007,Train
305,0.49358937,0.75345170,0.69301379,Train
306,0.50045335,0.74645263,0.69296277,Train
307,0.50679451,0.74881119,0.68862826,Train
308,0.50531173,0.75755686,0.69959205,Train
309,0.49130416,0.76232487,0.69974500,Train
310,0.48684567,0.75676638,0.69709331,Train
311,0.49518260,0.75508356,0.69780725,Train
312,0.49437562,0.76302606,0.70056093,Train
313,0.48651680,0.76093525,0.69928610,Train
314,0.48864833,0.75666440,0.69943905,Train
315,0.49247018,0.76130497,0.69964302,Train
316,0.48767987,0.76288581,0.70040798,Train
317,0.48572537,0.75878072,0.70045894,Train
318,0.48975229,0.76031053,0.69908208,Train
319,0.48867556,0.76338303,0.70005101,Train
320,0.48482934,0.76191688,0.70101988,Train
321,0.48661858,0.76037431,0.69872516,Train
322,0.48836312,0.76237583,0.70035696,Train
323,0.48540667,0.76408422,0.70005101,Train
324,0.48427340,0.76199341,0.69882715,Train
325,0.48634094,0.76218462,0.69994903,Train
326,0.48612672,0.76482362,0.69903111,Train
327,0.48391128,0.76484913,0.69928610,Train
328,0.48383701,0.76277107,0.69999999,Train
329,0.48518068,0.76353598,0.69887811,Train
330,0.48478162,0.76469612,0.69989800,Train
331,0.48321423,0.76477265,0.69954103,Train
332,0.48301142,0.76431370,0.69847018,Train
333,0.48390961,0.76371449,0.69974500,Train
334,0.48391446,0.76529533,0.69933707,Train
335,0.48287138,0.76616222,0.70050997,Train
336,0.48217833,0.76484913,0.69872516,Train
337,0.48247585,0.76532084,0.69836819,Train
338,0.48291388,0.76475990,0.69938809,Train
339,0.48262009,0.76622599,0.69938809,Train
340,0.48186204,0.76642996,0.69949007,Train
341,0.48140597,0.76586902,0.69887811,Train
342,0.48150548,0.76628971,0.69811320,Train
343,0.48175153,0.76553756,0.69898009,Train
344,0.48167825,0.76640445,0.69862318,Train
345,0.48125425,0.76667219,0.69923508,Train
346,0.48075798,0.76706743,0.69928610,Train
347,0.48047203,0.76715666,0.69974500,Train
348,0.48043460,0.76668495,0.69908208,Train
349,0.48050773,0.76691443,0.69887811,Train
350,0.48054385,0.76648098,0.69913310,Train
351,0.48044506,0.76724589,0.69872516,Train
352,0.48022926,0.76683795,0.69959205,Train
353,0.47993848,0.76759011,0.69908208,Train
354,0.47963780,0.76775581,0.69872516,Train
355,0.47936144,0.76789606,0.69923508,Train
356,0.47912720,0.76784509,0.69903111,Train
357,0.47893092,0.76784509,0.69867414,Train
358,0.47876436,0.76806182,0.69887811,Train
359,0.47861832,0.76793432,0.69898009,Train
360,0.47849244,0.76822752,0.69862318,Train
361,0.47839794,0.76835501,0.69913310,Train
362,0.47836670,0.76850802,0.69775623,Train
363,0.47848269,0.76700366,0.69867414,Train
364,0.47893906,0.76671046,0.69745028,Train
365,0.48021194,0.76269460,0.69775623,Train
366,0.48318946,0.76034880,0.69265682,Train
367,0.48956439,0.75217682,0.69250381,Train
368,0.49846870,0.74921912,0.68419176,Train
369,0.50480199,0.75549155,0.69449258,Train
370,0.49308142,0.76829129,0.69765425,Train
371,0.47868562,0.76655746,0.69622642,Train
372,0.48152539,0.75749308,0.69413567,Train
373,0.48976165,0.76416069,0.69632840,Train
374,0.48373279,0.76905620,0.69903111,Train
375,0.47724450,0.76223564,0.69862318,Train
376,0.48378319,0.76334476,0.69597143,Train
377,0.48455778,0.76799804,0.70071393,Train
378,0.47723588,0.76658297,0.69994903,Train
379,0.47950065,0.76430094,0.69546151,Train
380,0.48335907,0.76766658,0.70005101,Train
381,0.47828737,0.76869923,0.70010197,Train
382,0.47663516,0.76639169,0.69709331,Train
383,0.48052013,0.76630247,0.69949007,Train
384,0.47915980,0.76919645,0.69755226,Train
385,0.47572127,0.76868647,0.69719529,Train
386,0.47721827,0.76640445,0.69867414,Train
387,0.47882128,0.76926017,0.69729728,Train
388,0.47654971,0.76934946,0.69826621,Train
389,0.47510067,0.76836777,0.69954103,Train
390,0.47671866,0.76881397,0.69688934,Train
391,0.47728249,0.76970637,0.70020396,Train
392,0.47541139,0.77010161,0.69954103,Train
393,0.47454938,0.76968092,0.69724631,Train
394,0.47560844,0.76905620,0.69877613,Train
395,0.47607008,0.77020359,0.69714433,Train
396,0.47497001,0.77047133,0.69913310,Train
397,0.47396624,0.77029282,0.70005101,Train
398,0.47426721,0.77030557,0.69668537,Train
399,0.47492084,0.77017808,0.69943905,Train
400,0.47464868,0.77124900,0.69709331,Train
401,0.47376505,0.77045858,0.69872516,Train
402,0.47328103,0.77094305,0.69994903,Train
403,0.47351211,0.77124900,0.69607341,Train
404,0.47384730,0.77082831,0.69989800,Train
405,0.47366232,0.77161872,0.69688934,Train
406,0.47310302,0.77122349,0.69923508,Train
407,0.47263512,0.77110875,0.69887811,Train
408,0.47255242,0.77146572,0.69714433,Train
409,0.47271442,0.77118528,0.69954103,Train
410,0.47280046,0.77195019,0.69663435,Train
411,0.47264734,0.77140200,0.69949007,Train
412,0.47229919,0.77174622,0.69806224,Train
413,0.47193345,0.77169520,0.69979602,Train
414,0.47168392,0.77175897,0.69938809,Train
415,0.47158018,0.77200115,0.69760329,Train
416,0.47157633,0.77177167,0.69862318,Train
417,0.47160631,0.77256215,0.69653237,Train
418,0.47162500,0.77151674,0.69892913,Train
419,0.47160822,0.77275336,0.69592047,Train
420,0.47156897,0.77179718,0.69898009,Train
421,0.47151047,0.77272785,0.69566548,Train
422,0.47146657,0.77172071,0.69908208,Train
423,0.47144228,0.77297008,0.69505352,Train
424,0.47149855,0.77189916,0.69862318,Train
425,0.47162974,0.77230716,0.69515556,Train
426,0.47195172,0.77108324,0.69806224,Train
427,0.47245941,0.77093029,0.69484955,Train
428,0.47333845,0.76985937,0.69688934,Train
429,0.47442544,0.76901793,0.69321775,Train
430,0.47587028,0.76767933,0.69709331,Train
431,0.47683740,0.76862276,0.69189191,Train
432,0.47710523,0.76889050,0.69668537,Train
433,0.47542366,0.77180994,0.69495153,Train
434,0.47269386,0.77268958,0.69862318,Train
435,0.47003439,0.77396446,0.69852114,Train
436,0.46900782,0.77365851,0.69571650,Train
437,0.46973598,0.77168244,0.69836819,Train
438,0.47121844,0.77140200,0.69469661,Train
439,0.47238705,0.77103227,0.69780725,Train
440,0.47237021,0.77205217,0.69592047,Train
441,0.47137135,0.77311033,0.69887811,Train
442,0.46980467,0.77456367,0.69643039,Train
443,0.46855608,0.77461469,0.69852114,Train
444,0.46801764,0.77429593,0.69887811,Train
445,0.46818492,0.77421945,0.69576746,Train
446,0.46880224,0.77303380,0.69841915,Train
447,0.46957269,0.77270234,0.69546151,Train
448,0.47035277,0.77198845,0.69785821,Train
449,0.47093919,0.77189916,0.69357473,Train
450,0.47139028,0.77165693,0.69714433,Train
451,0.47140405,0.77252388,0.69352371,Train
452,0.47107920,0.77267689,0.69821519,Train
453,0.47018215,0.77409196,0.69535953,Train
454,0.46905199,0.77462745,0.69811320,Train
455,0.46785882,0.77529037,0.69699132,Train
456,0.46696389,0.77600425,0.69847018,Train
457,0.46649835,0.77540511,0.69821519,Train
458,0.46644178,0.77548158,0.69688934,Train
459,0.46668386,0.77563459,0.69872516,Train
460,0.46713251,0.77466565,0.69546151,Train
461,0.46777177,0.77367127,0.69826621,Train
462,0.46859482,0.77304655,0.69280982,Train
463,0.46972826,0.77156770,0.69678736,Train
464,0.47104064,0.77101952,0.69046402,Train
465,0.47262678,0.76980841,0.69612443,Train
466,0.47358680,0.77002513,0.68929118,Train
467,0.47365105,0.77099401,0.69750130,Train
468,0.47167563,0.77405375,0.69388068,Train
469,0.46873510,0.77590227,0.69836819,Train
470,0.46600115,0.77726638,0.69826621,Train
471,0.46496791,0.77638674,0.69663435,Train
472,0.46571824,0.77462745,0.69801122,Train
473,0.46726277,0.77388799,0.69337070,Train
474,0.46852559,0.77337801,0.69755226,Train
475,0.46865350,0.77416849,0.69357473,Train
476,0.46779394,0.77557081,0.69836819,Train
477,0.46625245,0.77699870,0.69632840,Train
478,0.46485096,0.77739388,0.69775623,Train
479,0.46408394,0.77727914,0.69785821,Train
480,0.46406156,0.77692217,0.69673634,Train
481,0.46457314,0.77641225,0.69821519,Train
482,0.46532831,0.77504814,0.69459462,Train
483,0.46616548,0.77483141,0.69755226,Train
484,0.46688619,0.77414298,0.69240183,Train
485,0.46754563,0.77370954,0.69648141,Train
486,0.46784011,0.77411747,0.69173890,Train
487,0.46786001,0.77430868,0.69704235,Train
488,0.46722293,0.77520108,0.69337070,Train
489,0.46620101,0.77665448,0.69785821,Train
490,0.46486154,0.77755964,0.69637942,Train
491,0.46365041,0.77838832,0.69765425,Train
492,0.46282172,0.77801859,0.69724631,Train
493,0.46248761,0.77809507,0.69663435,Train
494,0.46256328,0.77837557,0.69760329,Train
495,0.46292701,0.77710068,0.69535953,Train
496,0.46350718,0.77706242,0.69796020,Train
497,0.46426901,0.77596605,0.69275880,Train
498,0.46531007,0.77492064,0.69586945,Train
499,0.46654508,0.77387524,0.68980110,Train
500,0.46813756,0.77276611,0.69632840,Train
501,0.46943873,0.77261311,0.68878126,Train
