Dataset,N_samples,Threshold,Flip_Count,Mismatch,Max_Abs_magn,Median_magn,Mean_magn,Sum_Abs_magn,Geomean_magn
CostaMadre1.csv,296,3e-05,1,1,2.926705634096825,0.0,0.016535060079643078,2.926705634096825,0.007757623854699247
KnuggetChase3.csv,194,3e-05,1,1,3.0917201929870104,0.0,0.01671200104317303,3.0917201929870104,0.007645105269844521
KungChi3.csv,123,3e-05,1,1,16.47879305723001,0.0,0.08907455706610816,16.47879305723001,0.015585000598107301
MeanWhile1.csv,253,3e-05,1,1,2.486303370014556,0.0,0.018285083408660554,3.2364597633329177,0.010270160106794046
MegaWatt1.csv,253,3e-05,1,1,1.492895485668794,0.0,0.008434437772140079,1.492895485668794,0.005174044917634069
MindCave2.csv,125,3e-05,1,1,0.07881578875351485,0.0,0.0004260312905595397,0.07881578875351485,0.0004101594851335655
PieChart2.csv,745,3e-05,1,1,3.0604467962271293,0.0,0.017690443908827336,3.0604467962271293,0.008132853054248823
PizzaCutter1.csv,661,3e-05,1,1,2.057839968100915,0.0,0.011626253104010166,2.0578467994097993,0.00633475767236491
SPECTF.csv,349,3e-05,1,1,6.110807953396512,0.0,0.04359763291139409,8.937514746835788,0.018858162020621627
analcatdata_apnea1.csv,475,3e-05,1,1,2.7870828507213448,0.0,0.06797763050539865,2.7870828507213448,0.03301111692133629
analcatdata_apnea2.csv,475,3e-05,1,1,7.0520655425938195,0.0,0.19258445184305176,7.895962525565122,0.06801341304743502
analcatdata_apnea3.csv,450,3e-05,1,1,2.381391738068485,0.0,0.05808272531874353,2.381391738068485,0.03016020231973271
analcatdata_authorship.csv,841,3e-05,1,1,15.380571104822948,0.0,0.08210015992748568,25.368949417593075,0.018720524460358545
analcatdata_lawsuit.csv,264,3e-05,1,1,1.000060287349474,0.0,0.02222356194109942,1.000060287349474,0.01552319275159042
analcatdata_michiganacc.csv,108,3e-05,1,1,0.584256213422211,0.0,0.014250151546883196,0.584256213422211,0.011285524262766966
analcatdata_boxing1.csv,120,3e-05,1,1,0.04481434218457318,0.0,0.001093032736209102,0.04481434218457318,0.0010698207931705284
analcatdata_boxing2.csv,132,3e-05,1,1,5.344805859716812,0.0,0.13036111852967835,5.344805859716812,0.04609512685049122
analcatdata_creditscore.csv,100,3e-05,1,1,0.2045115286089354,0.0,0.0038587080869610453,0.2045115286089354,0.003517002536049585
analcatdata_seropositive.csv,132,3e-05,1,1,2.178448552240539,0.0,0.0675258438892609,2.7685595994596968,0.04030818539211656
analcatdata_vineyard.csv,468,3e-05,1,1,1.0242477330657618,0.0,0.02498165202599419,1.0242477330657618,0.01734872562313239
analcatdata_wildcat.csv,163,3e-05,1,1,2.6027198207501545,0.0,0.053116731035717436,2.6027198207501545,0.02650201423818288
appendicitis.csv,106,3e-05,1,1,4.409330531615009,0.0,0.07735667599324576,4.409330531615009,0.030059156423193567
ar4.csv,107,3e-05,1,1,0.3841479346297804,0.0,0.0026492961008950373,0.3841479346297804,0.002244478808637096
ar6.csv,101,3e-05,1,1,72.93298427850416,0.0,0.5183984259299094,75.16777175983685,0.03849573477342605
arsenic-female-bladder.csv,559,3e-05,1,1,0.9381969185103011,0.0,0.020848820411340025,0.9381969185103011,0.01481439727292777
arsenic-female-lung.csv,559,3e-05,1,1,4.09123168512688,0.0,0.09091626015317227,4.091231706892752,0.03682909317059435
arsenic-male-bladder.csv,559,3e-05,1,1,8.034288415783097,0.0,0.2555947115988477,11.501762021948148,0.08564518344696492
arsenic-male-lung.csv,559,3e-05,1,1,7.9977156171584305,0.0,0.28281279873890963,12.726575943250934,0.09156323544463874
autoPrice.csv,159,3e-05,1,1,0.5664199844314255,0.0,0.0063642694879935445,0.5664199844314255,0.0050553505601653725
autoUniv-au1-1000.csv,1000,3e-05,1,1,7.791811108521693,0.0,0.07148450558276782,7.791811108521693,0.020143505912998627
auto_price.csv,159,3e-05,1,1,0.6108246049495613,0.0,0.0068631978084220365,0.6108246049495613,0.005371071920784454
badges2.csv,294,3e-05,1,1,5.367324594246418,0.0,0.07778731299495997,5.367324596652238,0.027191816078105502
