Dataset,Row,N_Sample,Col,Seed,Mismatch,FlipTry,Flipped,Flip_Percentage,Tr_Acc,Val_Acc,Tr_loss,Val_loss
acute-inflammations.csv,120,96,6,20,1,1,2,1.67,1.0,1.0,0.03362026810646057,0.028367018327116966
acute-inflammations.csv,120,96,6,30,1,1,2,1.67,1.0,1.0,0.011186988092958927,0.013158812187612057
acute-inflammations.csv,120,96,6,40,1,1,3,2.50,1.0,1.0,0.007531610317528248,0.005584364756941795
acute-inflammations.csv,120,96,6,50,1,1,4,3.33,1.0,1.0,0.00886856485158205,0.006519310642033815
acute-inflammations.csv,120,96,6,70,1,1,3,2.50,1.0,1.0,0.003910000901669264,0.0025557992048561573
acute-inflammations.csv,120,96,6,80,1,1,2,1.67,1.0,1.0,0.005908819381147623,0.007614690810441971
acute-inflammations.csv,120,96,6,90,1,1,3,2.50,1.0,1.0,2.44130460487213e-05,1.596474612597376e-05
credit_g.csv,1000,800,20,0,1,1,3,0.30,0.7144444444444444,0.77,0.496084600687027,0.5132778286933899
credit_g.csv,1000,800,20,10,1,1,5,0.50,0.7311111111111112,0.78,0.4985361397266388,0.4639730155467987
credit_g.csv,1000,800,20,20,1,1,8,0.80,0.7244444444444444,0.7,0.5058323740959167,0.5308287739753723
credit_g.csv,1000,800,20,30,1,1,6,0.60,0.7333333333333333,0.77,0.4988132119178772,0.4870470464229584
credit_g.csv,1000,800,20,40,1,1,1,0.10,0.7411111111111112,0.73,0.4965648055076599,0.48659083247184753
credit_g.csv,1000,800,20,50,1,1,5,0.50,0.7366666666666667,0.67,0.49766474962234497,0.5264055132865906
credit_g.csv,1000,800,20,70,1,1,1,0.10,0.7244444444444444,0.73,0.49167272448539734,0.5330063700675964
credit_g.csv,1000,800,20,80,1,1,7,0.70,0.6988888888888889,0.71,0.5108636617660522,0.5602492690086365
credit_g.csv,1000,800,20,90,1,1,51,5.10,0.7144444444444444,0.73,0.5053284764289856,0.5161005258560181
fri_c3_500_25.csv,500,400,25,0,1,1,6,1.20,0.5733333333333334,0.44,0.6711834073066711,0.6950931549072266
fri_c3_500_25.csv,500,400,25,10,1,1,3,0.60,0.7266666666666667,0.66,0.5496813654899597,0.5955783724784851
fri_c3_500_25.csv,500,400,25,20,1,1,1,0.20,0.7022222222222222,0.68,0.6378969550132751,0.6563969254493713
fri_c3_500_25.csv,500,400,25,30,1,1,2,0.40,0.6955555555555556,0.62,0.5788781642913818,0.6765562295913696
fri_c3_500_25.csv,500,400,25,40,1,1,1,0.20,0.7177777777777777,0.64,0.6028062701225281,0.6614125967025757
fri_c3_500_25.csv,500,400,25,50,1,1,2,0.40,0.7266666666666667,0.58,0.5757489800453186,0.6449699997901917
fri_c3_500_25.csv,500,400,25,60,1,1,1,0.20,0.6866666666666666,0.68,0.608820915222168,0.6157893538475037
fri_c3_500_25.csv,500,400,25,70,1,1,1,0.20,0.7333333333333333,0.6,0.5702534914016724,0.6438372731208801
fri_c3_500_25.csv,500,400,25,80,1,1,3,0.60,0.7244444444444444,0.62,0.5708011984825134,0.6071879863739014
fri_c3_500_25.csv,500,400,25,90,1,1,9,1.80,0.6955555555555556,0.68,0.5719062685966492,0.6029022336006165
AP_Ovary_Kidney.csv,458,366,10935,0,1,1,1,0.22,1.0,0.9782608695652174,0.014367171563208103,0.12890319526195526
AP_Ovary_Kidney.csv,458,366,10935,10,1,1,3,0.66,0.9951456310679612,0.9347826086956522,0.012138830497860909,0.26969581842422485
AP_Ovary_Kidney.csv,458,366,10935,20,1,1,3,0.66,0.9830097087378641,0.9347826086956522,0.029437676072120667,0.40878868103027344
AP_Ovary_Kidney.csv,458,366,10935,30,1,1,14,3.06,0.9975728155339806,0.9565217391304348,0.21544873714447021,0.3604238033294678
