N,Layer1_Size,Layer2_Size,Fraction,Solutions,Avg time
20,3,1,10,No,0.9711117506027221
20,3,1,4,No,0.9261834144592285
20,3,1,2,No,1.1861396074295043
20,3,1,1,No,1.317301344871521
20,3,2,10,No,0.9873878240585328
20,3,2,4,No,0.9935935020446778
20,3,2,2,No,0.9583880424499511
20,3,2,1,No,1.0587099552154542
20,3,3,10,No,0.9798016548156738
20,3,3,4,No,1.0991960525512696
20,3,3,2,No,1.1440124034881591
20,3,3,1,No,1.2142657995224
20,4,1,10,No,0.911361289024353
20,4,1,4,No,0.9450666189193726
20,4,1,2,No,1.0267327785491944
20,4,1,1,No,1.145425796508789
20,4,2,10,No,1.0061748504638672
20,4,2,4,No,0.8769216775894165
20,4,2,2,No,1.0087865829467773
20,4,2,1,No,1.0441896200180054
20,4,3,10,No,1.0132694959640502
20,4,3,4,No,0.9027471542358398
20,4,3,2,No,1.0974499702453613
20,4,3,1,No,1.1469077587127685
20,4,4,10,No,0.9541000127792358
20,4,4,4,No,0.948226022720337
20,4,4,2,No,1.031117033958435
20,4,4,1,No,0.972814416885376
25,1,1,10,No,1.8054099321365356
25,1,1,4,No,1.834008526802063
25,1,1,2,No,1.9368895292282104
25,1,1,1,No,1.9108619213104248
25,2,1,10,No,1.8965087413787842
25,2,1,4,No,1.8573320627212524
25,2,1,2,No,1.746485662460327
25,2,1,1,No,1.82708899974823
25,2,2,10,No,1.7749217987060546
25,2,2,4,No,1.7684216737747191
25,2,2,2,No,2.0291686058044434
25,2,2,1,No,1.8361441373825074
25,3,1,10,No,1.8561498880386353
25,3,1,4,No,1.7285386085510255
25,3,1,2,No,1.6823590993881226
25,3,1,1,No,1.8681921243667603
25,3,2,10,No,1.8450812578201294
25,3,2,4,No,1.8697017192840577
25,3,2,2,No,1.912999725341797
25,3,2,1,No,1.7889877319335938
25,3,3,10,No,1.7772647857666015
25,3,3,4,No,1.8399653673171996
25,3,3,2,No,1.9618714332580567
25,3,3,1,No,2.0721823453903196
25,4,1,10,No,2.072912573814392
25,4,1,4,No,1.909083318710327
25,4,1,2,No,1.868724799156189
25,4,1,1,No,1.9865734338760377
25,4,2,10,No,1.7403387069702148
25,4,2,4,No,1.8561994314193726
25,4,2,2,No,1.8857867240905761
25,4,2,1,No,1.8542736768722534
25,4,3,10,No,1.788454532623291
25,4,3,4,No,1.9547269344329834
25,4,3,2,No,1.9834813833236695
25,4,3,1,No,1.7870272397994995
25,4,4,10,No,1.6228544473648072
25,4,4,4,No,1.9489994764328002
25,4,4,2,No,1.9211987495422362
25,4,4,1,No,2.054083251953125
30,1,1,10,No,2.1941735982894897
30,1,1,4,No,2.5750284433364867
30,1,1,2,No,2.3749481201171876
30,1,1,1,No,2.8056153059005737
30,2,1,10,No,2.2354410171508787
30,2,1,4,No,2.3753312826156616
30,2,1,2,No,2.348330569267273
30,2,1,1,No,2.4290396213531493
30,2,2,10,No,2.3293193340301515
30,2,2,4,No,2.517840361595154
30,2,2,2,No,2.2583991289138794
30,2,2,1,No,2.2783052206039427
30,3,1,10,No,2.1783756494522093
30,3,1,4,No,2.386421322822571
30,3,1,2,No,2.2844749450683595
30,3,1,1,No,2.0717657804489136
30,3,2,10,No,2.1863423347473145
30,3,2,4,No,2.3624875068664553
30,3,2,2,No,2.2550322294235228
30,3,2,1,No,2.4269145488739015
30,3,3,10,No,2.4448687553405763
30,3,3,4,No,2.349752140045166
30,3,3,2,No,2.5241703748703004
30,3,3,1,No,2.3232638597488404
30,4,1,10,No,2.2164362192153932
30,4,1,4,No,2.075542426109314
30,4,1,2,No,2.354412794113159
30,4,1,1,No,2.805228328704834
30,4,2,10,No,2.563523840904236
30,4,2,4,No,2.3971741914749147
30,4,2,2,No,2.279155802726746
30,4,2,1,No,2.3517940521240233
30,4,3,10,No,2.2987595558166505
30,4,3,4,No,2.555705165863037
30,4,3,2,No,2.476607060432434
30,4,3,1,No,2.303727126121521
30,4,4,10,No,2.3412826538085936
30,4,4,4,No,2.355892300605774
30,4,4,2,No,2.357803153991699
30,4,4,1,No,2.3958404779434206
